_New;Nuevo
BusinessItemDefinitionTooLongMessage;La cláusla SELECT de este elemento de negocio es demasiado larga (máximo 1000 carácteres).
DeveloperMode;Modo desarrollo
CollectionAlreadyBeingUpdatedExceptionMessage;La colección ya está siendo actualizada.
QueryResultNotScalarExceptionMessage;La consulta debe devolver un registro y una columna.
QueryResultEmptyMustBeSingleRowExceptionMessage;La consulta no ha devuelto ningún registro. Debe devolver exactamente 1.
QueryResultMoreThanOneRowMustBeSingleRowExceptionMessage;La consulta ha devuelto {0} registros. Debe devolver exactamente 1.
ExecutingTheQuery;Ejecutando la consulta
RowsHaveBeenObtainedParameter;Se han obtenido {0} filas
NullActionsToExecuteExceptionMessage;Se debe definir las acciones a ejecutar (Actions).
NullDataVariablesExceptionMessage;Se debe definir las variables (Data).
ProvidedServerAddressIsMisspelledMessage;La dirección del servidor proporcionada está mal escrita.
ProvidedServerAddressNotCronoServerMessage;La dirección proporcionada no corresponde a un servidor crono.
CronoServerConnectionHasBeenEstablished;Se ha establecido conexión con el servidor.
ExpressionAlreadyBeenSetted;La expressión ya se estableció
InstructionNotASELECTStatement;La instrucción no es una sentencia SELECT
UrlIncorrectFormatParameterBetweenQuotes;La url '{0}' no tiene un formato correcto.
UrlNotUsingS3ProtocolExceptionMessage;La url no usa el protocolo s3
ShowingPartialResults;Mostrando resultados parciales.
UnneededCallExceptionMessage;No es necesario llamar aquí
DeleteDirectoryConfirmation;¿Está seguro que desea eliminar este directorio y todo su contenido?
DeleteFileConfirmation;¿Está seguro que quiere eliminar este fichero?
_404FileNotFound;404. No se ha encontrado la ruta del fichero que solicitó
ServerIsNotInformed;No está informado el servidor.
ResourceDirectoryNotExistsParameterBetweenQuotes;No existe la carpeta de recursos '{0}'
DataBaseConnectionNotExistsParameter;No existe la conexión "{0}" para acceder a la base de datos.
NoDataBaseConectionEstablished;No hay ninguna conexión establecida a una base de datos.
ConditionNotMet;No se cumple la condición.
FileNotFoundParameter;No se ha encontrado el fichero {0}
FileNotFoundOfColon;No se ha encontrado el fichero de:
FileToSaveNotSpecified;No se ha especificado el fichero donde guardar
ConnectionNotSpecified;No se ha especificado la conexión.
ServerUrlNotSpecified;No se ha especificado la dirección url del servidor
SourceCatalogOfCubeNotSet;No se ha establecido el catálogo de origen de este cubo.
MessageOutputNotSet;No se ha establecido la salida de mensajes
CouldNotAccessToParameter;No se ha podido acceder a '{0}'
CouldNotExecuteActionCorrectlyMaxIterationCount;No se ha podido ejecutar la acción correctamente, se ha llegado al máximo de iteraciones.
CouldNotFindInexistentTempFile;No se ha podido encontrar un fichero temporal inexistente
CouldNotConnectMailServerCheckFieldAndRetry;No se ha podido establecer conexión con el servidor de correo, revise los campos, o inténtelo más tarde.
CouldNotSaveFileParameterColonParameter;No se ha podido guardar el fichero '{0}': {1}
CannotCreateEngineUndefinedHandlerFile;No se puede crear un Engine porque el fichero Handler no está definido.
CannotCreateDirectConnectionToCronoServerConnection;No se puede crear una conexión directa con una cadena de conexión del tipo Crono Server
KeyNameColonParameter;Nombre de la clave: {0}
MachineNameColonParameter;Nombre del equipo: {0}
IndexNameColonParameter;Nombre del índice: {0}
PanelParameter;Panel {0}
UpdateRuleColonParameter;Regla de actualización: {0}
DeleteRuleColonParameter;Regla de borrado: {0}
BadRouteDefinitionColonParameter;Route mal definida: {0}
ConditionIsMetActionsWillBeExecuted;Se cumple la condición. Se ejecutarán las acciones.
NullForEachItemsExceptionMessage;Se debe definir la consulta del bloque FOR EACH (Items).
NullForEachActionsExceptionMessage;Se debe definir las acciones del bloque FOR EACH (Actions).
NullCronoSqlCodeToExecuteExceptionMessage;Se debe definir el código Crono SQL a ejecutar (Code).
NullConditionExceptionMessage;Se debe definir la condición (Condition)
DataBaseParameterBetweenQuotesHasBeenDeleted;Se ha eliminado la base de datos '{0}'
FollowingActionsHaveBeenExecutedColon;Se han ejecutado las siguientes acciones:
AllAccountDataCorrectlyEvaluated;Se han evaluado correctamente todos los datos de la cuenta.
RecompileRequiredToIncorporateChanges;Se tiene que recompilar para incorporar los cambios:
BadSegmentDefinitionColonParameter;Segmento mal definida: {0}
DestinationTableColonParameter;Tabla de destino: {0}
SourceTableColonParameter;Tabla de origen: {0}
HasDiferentFilesCountDotParameterBetweenParentheses;Tienen diferente número de ficheros. ({0})
HasDiferentSubfoldersCountDotParameterBetweenParentheses;Tienen diferente número de subcarpetas. ({0})
UnsupportedDataTypeColonParameter;Tipo de dato no soportado: {0}
DataTypeColonParameter;Tipo de datos: {0}
UserColonParameter;Usuario: {0}
UndefinedVariableInDictionaryKeyColonParameterBetweenParentheses;Variable no definida en el diccionario (key: {0})
ParameterEmpty;{0} en blanco
ParameterRowsRead;{0} filas leídas.
ParameterCorrectlyExecuted;{0} ejecutado correctamente
ParameterRecordsAffected;{0} registros afectados.
FileRemovedFromRecentList;Archivo eliminado de la lista de recientes
FileNotExistsColon;El fichero no existe:
ItemNotFoundColon;Elemento no encontrado:
DataSourceIsNotInformed;No está el DataSource informado.
CouldNotAccessToRouteParameterBetweenQuotes;No se ha podido acceder a la ruta '{0}'
CronoBusinessIntelligencePlatform;Plataforma Crono Business Intelligence
InvertTableColumnXNotUniqueValues;Para invertir la tabla, la columa '{0}' debe tener valores únicos.
ParameterFilteredByParameter;{0} filtrado por {1}
Columns;Columnas
BusinessItem;Elemento de negocio
_Default;Predeterminado
WithoutProxy;Sin proxy
Values;Valores
Action;Acción
Configuration;Configuración
Executed;Ejecutado
ErrorParameterParameter;Error {0} {1}
UnexpectedError;Error imprevisto.
Information;Información
Numerical;Numérico
Job;Trabajo
ParameterAndParameter;{0} y {1}
_Date;Fecha
AndLowerCase;y
OrLowerCase;o
FilteredBetweenParentheses;(filtrado)
SubqueryBetweenParentheses;(Subconsulta)
AllBetweenParentheses;(Todos)
CompatibleFilesParameterBetweenParenthesesBarParameterBar;Archivos compatibles ({0})|{1}|
LogLocationColon;Ubicación del log:
Warning;Advertencia
TextFile;Archivo de texto
BatchFiles;Archivos Batch
CsvFiles;Archivos CSV
ImageFiles;Archivos de imagen
ExecutableFiles;Archivos Ejecutable
EtlFiles;Archivos ETL
ScheduleFiles;Archivos Schedule
SqlFiles;Archivos SQL
TmpFiles;Archivos tmp
XpsFiles;Archivos XPS
_Boolean;Booleano
_String;Cadena
WithProxy;Con proxy
LocalCube;Cubo local
Count;Recuento
UserData;Datos de usuario
AutomaticDetection;Detección automática
RtfFormat;Formato RTF
Formula;Formula
BmpImage;Imagen BMP
EmfImage;Imagen EMF
JpegImage;Imagen JPEG
PngImage;Imagen PNG
TIFFImage;Imagen TIFF
Report;Informe
GetCall;Llamada GET
PostCall;Llamada POST
Maximum;Máximo
Minimum;Mínimo
None;Ninguno
NameColonParameter;Nombre: {0}
Average;Promedio
CronoEtlProject;Proyecto Crono ETL
TestsResults;Resultados de tests
Secondary;Secundario
Sum;Suma
PrintableReport;Informe imprimible
ValuesLowercase;valores
ValueLowercase;valor
Properties;Propiedades
Update;Actualizar
Help;Ayuda
Connection;Conexión
Query;Consulta
Options;Opciones
Open;Abrir
Close;Cerrar
Delete;Eliminar
Modify;Modificar
Table;Tabla
Tables;Tablas
File;Archivo
Copy;Copiar
Status;Estado
Image;Imagen
Parameter;Parámetro
DatabaseColonParameter;Base de datos: {0}
View;Vista
NewDocument;Nuevo documento
CheckJoins;Verificar relaciones
Folder;Carpeta
Scheme;Esquema
CreationDate;Fecha de creación
Database;Base de datos
LastModification;Última modificación
Name;Nombre
Multivalue;Multivalor
ActionColon;Acción:
DateColon;Fecha:
AllRightsReserved;Todos los derechos reservados.
Hyperlink;Hipervínculo
Obsolete;Obsoleto
ErrorReadingParameter;Error al leer {0}
NotKnownNamespaceParameterBetweenQuotes;No se conoce el namespace '{0}'
CouldNotSaveOnTheServerParameterBetweenParentheses;No se ha podido guardar en el servidor ({0}).
NotSupportedResponseParameterBetweenParentheses;Respuesta no soportada ({0})
CssSelectorAbsentOrBadlyDefined;Selector CSS ausente o mal definido.
Yes;Sí
ItMustOnlyBeCalledIfTheNodeIsFile;Solo se debe llamar si el nodo es <file>.
AnItemWithSameKeyParameterBetweenQuotesWasAlreadyAdded;Ya se añadió un elemento con la misma clave '{0}'
Group;Grupo
UnrecognizedTransformationType;Tipo de transformación no reconocido.
SystemLanguage;Idioma del sistema
Spanish;Español
English;Inglés
Equal;Igual
InTheList;En la lista
Distinct;Distinto
OutOfTheList;Fuera de la lista
LessThan;Menor que
GreaterThan;Mayor que
LessThanOrEqualTo;Menor o igual que
GreaterThanOrEqualTo;Mayor o igual que
Between;Entre
Contains;Contiene
NotContains;No contiene
StartsWith;Comienza por
NotStartsWith;No comienza por
EndsWith;Termina en
NotEndsWith;No termina en
LikePattern;Como el patrón
NotLikePattern;No como el patrón
IsNull;Es nulo
IsNotNull;No es nulo
That;Que
ThatNot;Que no
InSubQuery;En subconsulta
NotInSubquery;No en subconsulta
Key;Clave
Value;Valor
Add;Añadir
Up;Subir
Down;Bajar
Executing;En ejecución
Variable;Variable
Queries;Consultas
SendEmailParameterBetweenParentheses;Envío correo electrónico ({0})
FileOfParameterMbUploadedToColonParameter;Fichero de {0}Mb  subido a: {1}
CurrentlyOnlyCompressedCopiesSupported;Actualmente solo se soportan copias comprimidas (.zip)
DataBasePatternBetweenParenthesesColon;Base de datos (patrón):
EachMarkdownbuilderCanOnlyBeUsedOnce;Cada Markdownbuilder solo se puede utilizar una vez.
UnknownFileContent;Contenido del fichero no reconocido.
ExcelContentNotDefined;Content del excel no definido
EmailNotSendedParenthesesBecauseIsTesting;Correo no enviado (por ser testing).
SourceMustBeSpecified;Debe especificar un source
TheDestinationFileOutputMustBeDefined;Se debe definir el fichero destino (Output).
TablesBetweenQuotesPropertyMustBeDefined;Se debe definir la propiedad 'Tables'
DuringTestsNotPublished;Durante los test no se publica
TheCubeHasBeenGeneratedCorrectly;El cubo se ha generado correctamente
TheFileMustHaveZipExtension;El fichero debe tener extensión ZIP
ExcelFileWithSeveralTableCannotUseUseExcelFilenameAsTableName;El fichero Excel tiene varias tablas por lo que no puede utilizar la opción 'UseExcelFilenameAsTableName'
ExistingSnapshotInDestinationFolderNotMatchLocationInSourceFolder;El snapshot existente en la carpeta destino no coincide con la ubicación de la carpeta origen.
ZipNotContainsSingleFile;El ZIP no contiene un único fichero
EnquecuedTheStatusUpdate;Encolada actualización de estado
ItIsNeededSmtpAccountToSendEmail;Es necesario epecificar la cuenta SMTP para enviar el correo.
ItIsNeededRequestUri;Es necesario especificar [RequestUri].
ItIsNeededInformExcelFile;Es necesario informar el 'ExcelFile'.
ItIsNeededToInformProfilesList;Es necesario informar la lista de 'Profiles'.
ThisDeviceNotConfiguredToUseGoogleCalendarService;Este equipo no está configurado para utilizar el servicio de Google Calendar.
ThisJobHasNoActionDefined;Este job no tiene nignuna acción definida.
ThisLogHasNotBeenSaved;Este log no se ha guardado
ThisRecordBelongsAnotherDatabase;Este registro pertenece a otra base de datos.
ThisTypeNotInheritDatabase;Este tipo no hereda de database
TablesStructuresNotSupported;Estructura de tablas no soportada.
EventCorrectlyRegistered;Evento registrado correctamente.
ExcelGeneratedCorrectly;Excel generado correctamente
UnknownActionExists;Existe una acción desconocida.
MissingMemoryLocationQuestion;¿Falta un memory location?
DatabaseRestorationHasBeenCompleted;Ha finalizado la restauración de la base de datos.
UnexpectedErrorOccurredWhileExecutingQuery;Ha ocurrido un error imprevisto al ejecutar una consulta.
ErrorOccurredDuringCubeCreation;Ha ocurrido un error durante la creación del cubo
DeviceIdentification;Identificación del dispositivo.
DestinationFolderCannotBeInsideSourceFolder;La carpeta destino no puede estar dentro de la carpeta origen.
SourceFolderCannotBeInsideDestinationFolder;La carpeta origen no puede estar dentro de la carpeta destino.
EntityNotAssociatedWithDatabase;La entidad no está asociada a ninguna base de datos.
EntityAlreadyAssociatedWithDatabase;La entidad ya está asociada a una base de datos.
TableStructureIsUnknown;La estructura de la tabla es desconocida.
ImagesNotWellSorted;Las imagenes no están bien ordenadas
TheSourceExcelFileNotExists;No existe el archivo Excel de origen.
ThereAreNoFilesInStage;No hay ficheros en stage.
ThereIsNoFilePendingToLoad;No hay ningún archivo pendiente de cargar
RotationSchemeNotDefined;No se ha definido el esquema de rotación.
JoinBetweenTablesNotFound;No se ha encontrado la relación entre estas dos tablas.
BaseDirectoryNotSpecified;No se ha especificado el directorio base (Directory)
SourceDirectoryNotSpecified;No se ha especificado el directorio de origen (SourceDirectory).
XmlFileNotSpecified;No se ha especificado el fichero XML (File)
AmazonBucketNameNotSpecified;No se ha especificado el nombre del bucket de amazon.
FileNameToLoadNotSpecified;No se ha especificado el nombre del fichero a cargar (Filename).
NameOfSourceDatabaseNotSpecified;No se ha especificado el nombre original de la base de datos  (SourceDatabaseName).
TargetSchemaNotSpecified;No se ha especificado el 'TargetSchema'
BakDirectoryNotSpecified;No se ha especificado la carpeta donde realizar la copia de seguridad (BakDirectory).
DatasetLocationNotSpecified;No se ha especificado la ubicación del 'Dataset'
TablesToLoadNotSpecified;No se han especificado las tablas a cargar (Tables).
CouldNotCreateEventInGoogleCalendar;No se ha podido crear el evento en Google Calendar.
CouldNotDetermineCurrentVersion;No se ha podido determinar la versión actual.
CouldNotDetermineIfExistsAnyUpdateAvailable;No se ha podido determinar si existen actualizaciones disponibles
CouldNotDeleteTheEvent;No se ha podido eliminar el evento.
CouldNotObtainEventInfo;No se ha podido obtener la información del evento.
CannotDiscardChangesOnFileWithoutChanges;No se pueden descartar cambios en un fichero que no hay cambios.
ItHasNotSenseToFindItself;No tiene sentido encontrarse a si mismo.
ServerNameColon;Nombre del servidor:
NullProfileOrBadlyDefined;Perfil nulo o  mal definido.
RestoringDatabase;Restaurando base de datos.
ItIsNeededSpecifyWhereUnzip;Se debe especificar donde se desea descomprimir
DestinationAmazonBucketMustBeSpecified;Se debe especificar el amazon bucket de destino (Target)
S3BucketWhereUploadDirectoryMustBeSpecified;Se debe especificar el Bucket de S3 donde subir el directorio (Bucket).
DirectoryToUploadMustBeDefined;Se debe especificar el directorio a subir (Directory).
DestinationDirectoryMustBeSpecified;Se debe especificar el directorio de destino (TargetDirectory)
SourceDirectoryMustBeSpecified;Se debe especificar el directorio de origen (SourceDirectory)
FolderToSynchronizeMustBeSpecified;Se debe especificar la carpeta a sincronizar (SourceDirectory)
BucketRegionMustBeSpecified;Se debe especificar la región del bucket.
DestinationBucketMustBeSpecified;Se ha de especificar el 'Bucket' de destino.
DestinationTableMustBeSpecifiedIntoTargetTableTag;Se ha de especificar la  tabla destino en el TAG targetTable.
BackupPathMustBeSpecified;Se ha de espeficicar el path donde se encuentra la copia de seguridad (Path)
BackupStartsAtColon;Se inicia la copia de seguridad en:
DownloadFolderMustBeDefined;Se tiene que definir la carpeta de descarga (BakDirectory)
AllTablesHaveBeenGeneratedCorrectly;Todas las tablas se han generado correctamente
AllProfilesMustInformTableNamesToPublish;Todos los perfiles deben tener informado las 'TableNames' a publicar.
VerifyingAccessToken;Verificando AccessToken
DatasetRead;Leído dataset
UploadCompleted;Subida finalizada.
SendEmail;Envío correo electrónico
NotExistsParameter;No existe {0}
FailedToImportData;Fallo al importar los datos
ParameterBetweenSquareBracketsNotAResourceFolder;[{0}] No es una carpeta de recursos.
ServerBackupParameterBetweenParentheses;Backup servidor ({0})
DatabaseParameter;Base de datos {0}
SearchForUpdatesParameterBetweenParentheses;Búsqueda de actualizaciones ({0})
CompressingParameter;Comprimiendo {0}
DownloadedParameterBytesParenthesesParameterMilliseconds;Descargados {0} bytes ({1} milisegundos).
UnknownParenthesesReleaseParameter;Desconocido (release {0})
TheDirectoryDoesNotExistsParameterBetweenParentheses;El directorio no existe ({0})
TheCompressedFileParameterBetweenQuotesContainsMoreThanOneFile;El fichero comprimido '{0}' contiene más de un fichero.
TheFileNotWithinBaseFolderParameterBetweenParentheses;El fichero no está dentro de la carpeta base ({0}).
TheFileDoesNotExistsParameterBetweenParentheses;El fichero no existe ({0})
TheNugetPackageNotHasExpectedContentParameterBetweenParentheses;El paquete de nuget no tiene el contenido esperado ({0})
TheZipNotContainsCompressedFolderParameterBetweenParentheses;El ZIP no contiene una carpeta comprimida ({0}).
OldBackupDeletedColonParameter;Eliminada copia de seguridad antigua: {0}
ErrorWhileSendingEmailParameterBetweenParentheses.;Error al enviar un correo ({0}).
ErrorReadingWritingColonParameter;Error al leer/escribir: {0}
ThisFolderAlreadyGitRepositoryParameterBetweenParentheses;Esta carpeta ya es un repositorio de GIT ({0})
FileStatusNotContemplatedParameterBetweenParenthesesAndQuotes;Estado del fichero no contemplado ('{0}')
ExistsUpdateAvailableWillBeDownloadedAndInstalledAutomaticallyParenthesesUpdateColonParameter;Existe una actualización disponible. Se descargará e instalará automáticamente. (Actualización: {0})
ThereAreSeveralRecordsOfParameter;Existen varios registros de {0}.
FailtureHileLinkingColumnParameter;Fallo al vincular la columna {0}
SheetParameterBetweenQuotesCreatedCorrectly;Hoja '{0}' creada correctamente
ImageParameter;Imagen {0}
TheYamlHeaderOfResourceHeaderNotCorrectParameterBetweenParenthesesAndSquareBrackets;La cabecera YAML de la cabecera de recursos no es correcta ([{0}])
TheFolderParameterBetweenQuotesAlreadyExists;La carpeta '{0}' ya existe.
QueueFullNoAdditionalMessageWillBeLoaded;La cola está llena. No se cargará ningun mensaje adicional
TheTableParameterBetweenQuotesNotHaveRecordsBulkIsOmited;La tabla '{0}' no tiene ningún registro. Se omite el BULK.
LastVersionAvailableIsParameterParenthesesCurrentVersionColonParameter;La última versión disponible es {0} (Versión actual: {1}).
LastVersionAvailableIsParameterAlthoughWillNotBeInstalledNowBecauseCurrentExecutionModeParameterBetweenParentheses;La última versión disponible es {0}, aunque no se instalará ahora por el modo de ejecución actual ({1})
ParameterReadMessages;Leídos {0} mensajes
ReadingDirectoryColonParameter;Leyendo directorio: {0}
ReadingExcelTableColonParameter;Leyendo tabla Excel: {0}
NotNeededToDeleteFileBecauseNotExistsColonParameter;No es necesario eliminar el fichero porque no existe: {0}
NotValidXMLFileParameterBetweenParenthesesColonParameter;No es un fichero XML válido ({0}): {1}.
NotANugetPackageParameterBetweenParentheses;No es un paquete de nuget ({0})
NotAGitRepositoryColonParameter;No es un repositorio GIT: {0}
TheSpecfiedDirectoryDoesNotExistsParameterBetweenParentheses;No existe el directorio especificado ({0})
TheSearchedRecordDoesNotExistsParameter;No existe el registro buscado de {0}.
NotExistsAvailableUpdateParenthesesCurrentVersionColonParamether;No existe ninguna actualización diponible (Versión actual: {0})
ThereAreNoOldBackupsPendingToDelete;No hay copias  de seguridad antiguas pendientes de eliminar.
ThereIsNoRegisteredServerThatUseAmazonBucketCalledParameterBetweenQuotes;No hay ningún servidor registrado que use un bucket de amazon llamado '{0}'
BranchNotFoundColonParameter;No se ha encontrado la rama: {0}
NoBackupFoundInIndicatedLocationParameterBetweenParentheses;No se ha encontrado ninguna copia de seguridad en la ubicación indicada. ({0})
OutputFolderNotSpecifiedParameterBetweenParentheses;No se ha especificado la capreta de salida.({0}).
PageToGenerateNotSpecifiedParameter;No se ha especificado la página a generar.({0}).
CouldNotDeleteTheFolderParameterBetweenQuotes;No se ha podido eliminar la carpeta '{0}'
UrlNotRecognizedAsAwsS3ValidAddressParameterBetweenParentheses;No se reconoce la URL como una direccíon de AWS S3 válida ({0})
ObtainDataParameterBetweenParentheses;Obtener datos ({0})
ReadyToExtractAndLoadTableDataParameter;Preparado para extraer y cargar los datos de la tabla   {0}
ReadyToExtractAndLoadFileDataParameter;Preparado para extraer y cargar los datos del archivo {0}
UnexpectedProblemGeneratingThePageParameter;Problema imprevisto generando página {0}
PerformedBulkInsertOnParameter;Realizado BULK INSERT sobre {0}.
PerformedBulkInsertonParameterParenthesesParameterReadRecords;Realizado BULK INSERT sobre {0} ({1} registros leídos)
ParameterMessagesWillBeEnqueueToFillTheQueue;Se encolarán {0} mensajes para llenar la cola.
AnUnexpectedFileHasBeenDeletedColonParameter;Se ha borrado un fichero inesperado: {0}
TheBackupHasBeenCompressedColonParameter;Se ha comprimido la copia de seguridad: {0}
TheBackUpHasBeenCreatedColonParameter;Se ha creado la copia de seguridad: {0}
LoadOfParameterFilesStartsParenthesesParameterMb;Se inicia la carga de {0} archivos ({1} Mb.).
DownloadOfParameterIntoParameterBetweenQuotesStarts;Se inicia la descarga de {0} a '{1}'
UploadToParameterInThePathParameterBetweenParenthesesStartsParenthesesParameterKb;Se inicia la subida a {0} en la ruta '{1}' ({2} Kb)
UploadToParameterOfParameterBetweenParenthesesStartsParenthesesParameterKb;Se inicia la subida a {0} de '{1}' ({2} Kb)
UploadOfParameterFilesStarts;Se inicia la subida de {0} arcihvos.
FileSizeParameterKb;Tamaño del fichero {0} Kb
VerifyingProfileColonParameter;Verificando Profile: {0}
LookingForDifferences;Buscando diferencias
Quote;Cita
EmailSended;Correo enviado.
ViewCreation;Creación vista
CreateTables;Crear tablas
DownloadComplete;Descarga finalizada.
Decompressing;Descomprimiendo.
RotationSchemeColon;Esquema rotación:
FileCopied;Fichero copiado.
CubeGeneration;Generación del cubo
GeneratingExcelEllipsis;Generando Excel...
GeneratingParameterBetweenQuotes;Generarando '{0}'
ReadingParameter;Leyendo {0}
NotDetected;No detectado
Synchronization;Sincronización
UnexpectedSituation;Situación imprevista
FrameworkDotNetColonParameter;Framework .Net: {0}
UnrecognizedActionOrJob;Acción o trabajo no reconocido.
TooManyArguments;Demasiados argumentos.
UsageModeColonCronoConsoleDotExeSquareBracketsNameOfTheJobToExecute;Modo de uso: CronoConsole.exe [nombre del job a ejecutar]
AllImagesAreAccesibleCheck;- Todas las imágenes son accesibles.(✅)
SheetParameterBetweenQuotesCreatedWithTheFollowingErrorsColonParameter;Hoja '{0}' creada con los siguientes errores:|{1}
ItIsNotPossibleToCreateTheGoogleEventBecauseIsNecessaryToSpecifyTheStartDateBetweenQuotes;No es posible crear el  GoogleEvent porque es necesario especificar el 'StartDate'
ItIsNotPossibleToCreateTheGoogleEventBecauseIsNecessaryToSpecifyTheTitleBetweenQuotes;No es posible crear el  GoogleEvent porque es necesario especificar el 'Title'
TheCalendarIdHasNotBeenDefined;No se ha definido el CalendarID.
ShowValues;Ver valores
Actions;Acciones
ParameterAlreadyExistsAskWantReplaceIt;'{0}' ya existe.|¿Desea reemplazarlo?
TheFolderLowerCase;la carpeta
TheCubeElementLowerCase;el elemento del cubo
AskWantRemoveParameterParameterBetweenQuotes;¿Desea eliminar {0} '{1}'?
TheDestinationFileMightNotBeSameTypeAskOverwriteServerFile;El fichero de destino podría no ser del mismo tipo.|¿Sobreescribir fichero del servidor?
TheFileHasBeenDeletenOnTheServerAskPublishAgain;El fichero ha sido borrado en el servidor.|¿Volver a publicarlo?
AConstructorWithASingleParameterHasNotBeenFoundInEditorParameterBetweenQuotesCreateConstructorToBeAbleToCreateNewElementsOfTypeParameterBetweenQuotes;No se ha encontrado un costructor con un único parámetro en el editor '{0}'.|Cree el constructor para poder crear nuevo elementos del tipo '{1}'
AreUniqueCandidatesColon;son candidatas a unicas:
ThisFilterAppliesToTheFollowingSheetsColonParameter;Este filtro aplica en las siguientes hojas: {0}
TheParametersParametersHaveNotBeenDefined;Los parámetros {0} no se han definido.
HyphenHyphenServiceUrlColonParameter;-- Url del servicio: {0}
ParameterWarningColonNoViewModelsConstructorRegisteredForCollectionTypeParameter;{0} Advertencia: No se ha registrado ningún constructor de ViewModels para una colección de tipo '{1}'
ParameterBetweenQuotesDeletesSuccessfully;'{0}' eliminado correctamente.
ParameterDeletedBetweenParentheses;{0} (eliminado)
NameVersionCultureLocationBarSeparated;| Nombre | Versión | Culture | Ubicación |
AskWantDeleteFilterParameterBetweenQuotes;¿Desea borrar el filtro '{0}'?
AskWantDeleteCubeParameterBetweenQuotes;¿Desea eliminar el cubo '{0}'?
AskWantDeleteTheParameterParameter;¿Desea eliminar el parámetro {0}?
AskWantDeleteConnectionParameterBetweenQuotes;¿Desea eliminar la conexión '{0}'?
AskWantDeleteTheLicenseCurrentlyUsing;¿Desea eliminar la licencia que está utilizando actualmente?
AskWantDeleteAllSelectedCubeElements;¿Desea eliminar todos los elementos seleccionados del cubo?
AskDeleteParameterBetweenQuotes;¿Eliminar '{0}'?
AskDeleteTheJobParameterBetweenQuotes;¿Eliminar el trabajo '{0}'?
OpenAllSubfolder;Abrir todas las carpetas
UpdateAvailableParameterBetweenParentheses;Actualización disponible ({0})
UpdateListOfValues;Actualizar lista de valores
