_New	Nou
HourStringToTimeSpanExceptionMessage	Hora hh: mm: ss incorrecta {0}.
InitiallyDeferredColonParameter	Inicialment diferida: {0}
RestrictionTypeColonParameter	Tipus de restricció: {0}
ColumnCountColonParameter	Nombre de columnes: {0}
ColumnColonParameter	Columna: {0}
TableColonParameterDotParameter	Taula: {0}. {1}
RestrictionNameColonParameter	Nom de la restricció: {0}
IncorrectInstallation	Instal·lació incorrecta
BusinessItemEmptyDefinitionMessage	Introduïu la clàusula SELECT.
BusinessItemDefinitionTooLongMessage	La cláusla SELECT d'aquest element de negoci és massa llarga (màxim 1000 caràcters).
DeveloperMode	Mode desenvolupament
CollectionAlreadyBeingUpdatedExceptionMessage	La col·lecció ja està sent actualitzada.
QueryResultNotScalarExceptionMessage	La consulta ha de retornar un registre i una columna.
QueryResultEmptyMustBeSingleRowExceptionMessage	La consulta no ha tornat cap registre. Ha de tornar exactament 1.
QueryResultMoreThanOneRowMustBeSingleRowExceptionMessage	La consulta ha {0} registres. Ha de tornar exactament 1.
ExecutingTheQuery	Executant la consulta
RowsHaveBeenObtainedParameter	S'han obtingut {0} files
NullActionsToExecuteExceptionMessage	S'ha de definir les accions a executar (Actions).
NullDataVariablesExceptionMessage	S'ha de definir les variables (Data).
ProvidedServerAddressIsMisspelledMessage	La direcció de l'servidor proporcionada està mal escrita.
ProvidedServerAddressNotCronoServerMessage	La direcció proporcionada no correspon a un servidor crono.
CronoServerConnectionHasBeenEstablished	S'ha establert connexió amb el servidor.
ExpressionAlreadyBeenSetted	La expressió ja es va establir
InstructionNotASELECTStatement	La instrucció no és una sentència SELECT
UrlIncorrectFormatParameterBetweenQuotes	L'URL '{0}' no té un format correcte.
UrlNotUsingS3ProtocolExceptionMessage	L'URL no fa servir el protocol s3
ShowingPartialResults	Ara es mostren resultats parcials.
UnneededCallExceptionMessage	No cal trucar aquí
DeleteDirectoryConfirmation	Esteu segur que voleu suprimir aquest directori i tot el seu contingut?
DeleteFileConfirmation	Esteu segur que voleu suprimir aquest fitxer?
_404FileNotFound	404. No s'ha trobat la ruta de l'fitxer que va sol·licitar
ServerIsNotInformed	No està informat al servidor.
ResourceDirectoryNotExistsParameterBetweenQuotes	No existeix la carpeta de recursos '{0}'
DataBaseConnectionNotExistsParameter	No hi ha la connexió '{0}' per accedir a la base de dades.
NoDataBaseConectionEstablished	No hi ha cap connexió establerta a una base de dades.
ConditionNotMet	No es compleix la condició.
FileNotFoundParameter	No s'ha trobat el fitxer {0}
FileNotFoundOfColon	No s'ha trobat el fitxer de:
FileToSaveNotSpecified	No s'ha especificat el fitxer on guardar
ConnectionNotSpecified	No s'ha especificat la connexió.
ServerUrlNotSpecified	No s'ha especificat l'adreça url de l'servidor
SourceCatalogOfCubeNotSet	No s'ha establert el catàleg d'origen d'aquest cub.
MessageOutputNotSet	No s'ha establert la sortida de missatges
CouldNotAccessToParameter	No s'ha pogut accedir a '{0}'
CouldNotExecuteActionCorrectlyMaxIterationCount	No s'ha pogut executar l'acció correctament, s'ha arribat a el màxim d'iteracions.
CouldNotFindInexistentTempFile	No s'ha pogut trobar un fitxer temporal inexistent
CouldNotConnectMailServerCheckFieldAndRetry	No s'ha pogut establir connexió amb el servidor de correu, revisi els camps, o intenti-ho més tard.
CouldNotSaveFileParameterColonParameter	No s'ha pogut desar el fitxer '{0}': {1}
CannotCreateEngineUndefinedHandlerFile	No es pot crear un cerca perquè el fitxer Handler no està definit.
CannotCreateDirectConnectionToCronoServerConnection	No es pot crear una connexió directa amb una cadena de connexió de l'tipus Crono Server
KeyNameColonParameter	Nom de la clau: {0}
MachineNameColonParameter	Nom de l'equip: {0}
IndexNameColonParameter	Nom de l ': {0}
PanelParameter	Panell {0}
UpdateRuleColonParameter	Regla d'actualització: {0}
DeleteRuleColonParameter	Regla d'esborrat: {0}
BadRouteDefinitionColonParameter	Route mal definida: {0}
ConditionIsMetActionsWillBeExecuted	Es compleix la condició. S'executaran les accions.
NullForEachItemsExceptionMessage	S'ha de definir la consulta d'el bloc FOR EACH (Items).
NullForEachActionsExceptionMessage	S'ha de definir les accions de l'bloc FOR EACH (Actions).
NullCronoSqlCodeToExecuteExceptionMessage	S'ha de definir el codi Crono SQL a executar (Code).
NullConditionExceptionMessage	S'ha de definir la condició (Condition)
DataBaseParameterBetweenQuotesHasBeenDeleted	S'ha eliminat la base de dades '{0}'
FollowingActionsHaveBeenExecutedColon	S'han executat les següents accions:
AllAccountDataCorrectlyEvaluated	S'han avaluat correctament totes les dades del compte.
RecompileRequiredToIncorporateChanges	S'ha de recompilar per incorporar els canvis:
BadSegmentDefinitionColonParameter	Segment mal definida: {0}
DestinationTableColonParameter	Taula de destinació: {0}
SourceTableColonParameter	Taula d'origen: {0}
HasDiferentFilesCountDotParameterBetweenParentheses	Tenen diferent nombre de fitxers. ({0})
HasDiferentSubfoldersCountDotParameterBetweenParentheses	Tenen diferent nombre de subcarpetes. ({0})
UnsupportedDataTypeColonParameter	Tipus de dada no suportat: {0}
DataTypeColonParameter	Tipus de dades: {0}
UserColonParameter	Usuari: {0}
UndefinedVariableInDictionaryKeyColonParameterBetweenParentheses	Variable no definida en el diccionari (key: {0})
ParameterEmpty	{0} en blanc
ParameterRowsRead	{0} files llegides.
ParameterCorrectlyExecuted	{0} executat correctament
ParameterRecordsAffected	{0} registres afectats.
FileRemovedFromRecentList	Arxiu eliminat de la llista de recents
FileNotExistsColon	El fitxer no existeix:
ItemNotFoundColon	Element no trobat:
DataSourceIsNotInformed	No hi ha el datasource informat.
CouldNotAccessToRouteParameterBetweenQuotes	No s'ha pogut accedir a la ruta '{0}'
CronoBusinessIntelligencePlatform	Plataforma Crono Business Intelligence
InvertTableColumnXNotUniqueValues	Per invertir la taula, la columa '{0}' ha de tenir valors únics.
ParameterFilteredByParameter	{0} filtrat per {1}
Columns	Columnes
BusinessItem	Element de negoci
_Default	Per defecte
WithoutProxy	Sense servidor intermediari
Values	Valors
Action	Acció
Configuration	Configuració
Executed	Executat
ErrorParameterParameter	Error {0} {1}
UnexpectedError	Error imprevist.
Information	Informació
Numerical	Numèric
Job	Treball
ParameterAndParameter	{0} i {1}
_Date	Data
AndLowerCase	i
OrLowerCase	o
FilteredBetweenParentheses	(Filtrat)
SubqueryBetweenParentheses	(Subconsulta)
AllBetweenParentheses	(Tots)
CompatibleFilesParameterBetweenParenthesesBarParameterBar	Arxius compatibles ({0}) | {1} |
LogLocationColon	Ubicació de l'log:
Warning	Notes
TextFile	Arxiu de text
BatchFiles	Arxius Batch
CsvFiles	Arxius CSV
ImageFiles	Arxius d'imatge
ExecutableFiles	Arxius executable
EtlFiles	Arxius ETL
ScheduleFiles	Arxius Schedule
SqlFiles	Arxius SQL
TmpFiles	Arxius tmp
XpsFiles	Arxius XPS
_Boolean	Booleà
_String	Cadena
WithProxy	Amb intermediari
LocalCube	Cub local
Count	Recompte
UserData	Dades d'usuari
AutomaticDetection	Detecció automàtica
RtfFormat	Format RTF
Formula	Formula
BmpImage	Imatge BMP
EmfImage	Imatge EMF
JpegImage	Imatge JPEG
PngImage	Imatge PNG
TIFFImage	Imatge TIFF
Report	Informe
GetCall	Crida GET
PostCall	Crida POST
Maximum	Màxim
Minimum	Mínim
None	Cap
NameColonParameter	Nom: {0}
Average	Mitjana
CronoEtlProject	Projecte Crono ETL
TestsResults	Resultats de tests
Secondary	Secundari
Sum	Suma
PrintableReport	Informe per imprimir
ValuesLowercase	valors
ValueLowercase	valor
Properties	Propietats
Update	Actualitzar
Help	Ajuda
Connection	Connexió
Query	Consulta
Options	Opcions
Open	Obrir
Close	Tancar
Delete	Eliminar
Modify	Modificar
Table	Taula
Tables	Taules
File	Arxiu
Copy	Copiar
Status	Estat
Image	Imatge
Parameter	Paràmetre
DatabaseColonParameter	Base de dades: {0}
View	Vista
NewDocument	Nou document
CheckJoins	Verificar relacions
Folder	Carpeta
Scheme	Esquema
CreationDate	Data de creació
Database	Base de dades
LastModification	Darrera modificació
Name	Nom
Multivalue	Multivalor
ActionColon	Acció:
DateColon	Data:
AllRightsReserved	Tots els drets reservats.
Hyperlink	Hipervincle
Obsolete	Obsolet
ErrorReadingParameter	Error a l'llegir {0}
NotKnownNamespaceParameterBetweenQuotes	No es coneix el namespace '{0}'
CouldNotSaveOnTheServerParameterBetweenParentheses	No s'ha pogut desar al servidor ({0}).
NotSupportedResponseParameterBetweenParentheses	Resposta no suportada ({0})
CssSelectorAbsentOrBadlyDefined	Selector CSS absent o mal definit.
Yes	Sí
ItMustOnlyBeCalledIfTheNodeIsFile	Només s'ha de trucar si el node és <file>.
AnItemWithSameKeyParameterBetweenQuotesWasAlreadyAdded	Ja es va afegir un element amb la mateixa clau '{0}'
Group	Grup
UnrecognizedTransformationType	Tipus de transformació no reconegut.
SystemLanguage	Idioma sistema
Spanish	Espanyol
English	Anglès
Equal	Igual
InTheList	A la llista
Distinct	Diferent
OutOfTheList	Fora de la llista
LessThan	Més petit que
GreaterThan	Més gran que
LessThanOrEqualTo	Menor o igual que
GreaterThanOrEqualTo	Major o igual que
Between	Entre
NotContains	No conté
StartsWith	Comença per
NotStartsWith	No comença per
EndsWith	Acaba en
NotEndsWith	No acaba en
LikePattern	Com el patró
NotLikePattern	No com el patró
IsNull	És nul
IsNotNull	No és nul
That	Que
ThatNot	Que no
InSubQuery	En subconsulta
NotInSubquery	No en subconsulta
Key	Clau
Value	Valor
Add	Afegir
Up	Pujar
Down	Baixar
Executing	En execució
Variable	Variable
Queries	Consultes
SendEmailParameterBetweenParentheses	Enviament correu electrònic ({0})
FileOfParameterMbUploadedToColonParameter	Fitxer de {0} Mb pujat a: {1}
CurrentlyOnlyCompressedCopiesSupported	Actualment només es suporten còpies comprimides (.zip)
DataBasePatternBetweenParenthesesColon	Base de dades (patró):
EachMarkdownbuilderCanOnlyBeUsedOnce	Cada Markdownbuilder només es pot utilitzar una vegada.
UnknownFileContent	Contingut de el fitxer no reconegut.
ExcelContentNotDefined	Content de l'excel no definit
EmailNotSendedParenthesesBecauseIsTesting	Correu enviat (per ser testing).
SourceMustBeSpecified	Heu d'especificar un source
TheDestinationFileOutputMustBeDefined	S'ha de definir el fitxer destí (Output).
TablesBetweenQuotesPropertyMustBeDefined	S'ha de definir la propietat 'Tables'
DuringTestsNotPublished	Durant els tests no es publica
TheCubeHasBeenGeneratedCorrectly	El cub s'ha generat correctament
TheFileMustHaveZipExtension	El fitxer ha de tenir extensió ZIP
ExcelFileWithSeveralTableCannotUseUseExcelFilenameAsTableName	El fitxer Excel té diverses taules de manera que no pot utilitzar l'opció 'UseExcelFilenameAsTableName'
ExistingSnapshotInDestinationFolderNotMatchLocationInSourceFolder	El snapshot existent a la carpeta destí no coincideix amb la ubicació de la carpeta origen.
ZipNotContainsSingleFile	El ZIP no conté un únic fitxer
EnquecuedTheStatusUpdate	Encolada actualització d'estat
ItIsNeededSmtpAccountToSendEmail	Cal epecificar el compte SMTP per enviar el correu.
ItIsNeededRequestUri	Cal especificar [RequestUri].
ItIsNeededInformExcelFile	Cal informar l' 'ExcelFile'.
ItIsNeededToInformProfilesList	Cal informar la llista de 'Profiles'.
ThisDeviceNotConfiguredToUseGoogleCalendarService	Aquest equip no està configurat per utilitzar el servei de Google Calendar.
ThisJobHasNoActionDefined	Aquest job no té nignuna acció definida.
ThisLogHasNotBeenSaved	Aquest log no s'ha guardat
ThisRecordBelongsAnotherDatabase	Aquest registre pertany a una altra base de dades.
ThisTypeNotInheritDatabase	Aquest tipus no hereta de database
TablesStructuresNotSupported	Estructura de taules no suportada.
EventCorrectlyRegistered	Esdeveniment registrat correctament.
ExcelGeneratedCorrectly	Excel generat correctament
UnknownActionExists	Hi ha una acció desconeguda.
MissingMemoryLocationQuestion	¿Falta un memory location?
DatabaseRestorationHasBeenCompleted	Ha finalitzat la restauració de la base de dades.
UnexpectedErrorOccurredWhileExecutingQuery	Hi ha hagut un error imprevist a l'executar una consulta.
ErrorOccurredDuringCubeCreation	Hi ha hagut un error durant la creació de la galleda
DeviceIdentification	Identificació de el dispositiu.
DestinationFolderCannotBeInsideSourceFolder	La carpeta destí no pot estar dins de la carpeta origen.
SourceFolderCannotBeInsideDestinationFolder	La carpeta origen no pot estar dins de la carpeta destinació.
EntityNotAssociatedWithDatabase	L'entitat no està associada a cap base de dades.
EntityAlreadyAssociatedWithDatabase	L'entitat ja està associada a una base de dades.
TableStructureIsUnknown	L'estructura de la taula és desconeguda.
ImagesNotWellSorted	Les imatges no estan ben ordenades
TheSourceExcelFileNotExists	No existeix el fitxer Excel d'origen.
ThereAreNoFilesInStage	No hi ha fitxers en stage.
ThereIsNoFilePendingToLoad	No hi ha cap arxiu pendent de carregar
RotationSchemeNotDefined	No s'ha definit l'esquema de rotació.
JoinBetweenTablesNotFound	No s'ha trobat la relació entre aquestes dues taules.
BaseDirectoryNotSpecified	No s'ha especificat el directori base (Directory)
SourceDirectoryNotSpecified	No s'ha especificat el directori d'origen (SourceDirectory).
XmlFileNotSpecified	No s'ha especificat el fitxer XML (File)
AmazonBucketNameNotSpecified	No s'ha especificat el nom de l'bucket de amazon.
FileNameToLoadNotSpecified	No s'ha especificat el nom de el fitxer a carregar (Filename).
NameOfSourceDatabaseNotSpecified	No s'ha especificat el nom original de la base de dades (SourceDatabaseName).
TargetSchemaNotSpecified	No s'ha especificat el 'TargetSchema'
BakDirectoryNotSpecified	No s'ha especificat la carpeta on realitzar la còpia de seguretat (BakDirectory).
DatasetLocationNotSpecified	No s'ha especificat la ubicació de l' 'Dataset'
TablesToLoadNotSpecified	No s'han especificat les taules a carregar (Tables).
CouldNotCreateEventInGoogleCalendar	No s'ha pogut crear l'esdeveniment a Google Calendar.
CouldNotDetermineCurrentVersion	No s'ha pogut determinar la versió actual.
CouldNotDetermineIfExistsAnyUpdateAvailable	No s'ha pogut determinar si hi ha actualitzacions
CouldNotDeleteTheEvent	No s'ha pogut eliminar l'esdeveniment.
CouldNotObtainEventInfo	No s'ha pogut obtenir la informació de l'esdeveniment.
CannotDiscardChangesOnFileWithoutChanges	No es poden descartar canvis en un fitxer que no hi ha canvis.
ItHasNotSenseToFindItself	No té sentit trobar-se a si mateix.
ServerNameColon	Nom de servidor:
NullProfileOrBadlyDefined	Perfil nul o mal definit.
RestoringDatabase	Restaurant base de dades.
ItIsNeededSpecifyWhereUnzip	S'ha d'especificar on es vol descomprimir
DestinationAmazonBucketMustBeSpecified	S'ha d'especificar el amazon bucket de destinació (Target)
S3BucketWhereUploadDirectoryMustBeSpecified	S'ha d'especificar el Bucket de S3 on pujar el directori (Bucket).
DirectoryToUploadMustBeDefined	S'ha d'especificar el directori a pujar (Directory).
DestinationDirectoryMustBeSpecified	S'ha d'especificar el directori de destinació (TargetDirectory)
SourceDirectoryMustBeSpecified	S'ha d'especificar el directori d'origen (SourceDirectory)
FolderToSynchronizeMustBeSpecified	S'ha d'especificar la carpeta a sincronitzar (SourceDirectory)
BucketRegionMustBeSpecified	S'ha d'especificar la regió de l'bucket.
DestinationBucketMustBeSpecified	S'ha d'especificar el 'Bucket' de destinació.
DestinationTableMustBeSpecifiedIntoTargetTableTag	S'ha d'especificar la taula destinació en el TAG targetTable.
BackupPathMustBeSpecified	S'ha de espeficicar el path on es troba la còpia de seguretat (Path)
BackupStartsAtColon	S'inicia la còpia de seguretat en:
DownloadFolderMustBeDefined	S'ha de definir la carpeta de descàrrega (BakDirectory)
AllTablesHaveBeenGeneratedCorrectly	Totes les taules s'han generat correctament
AllProfilesMustInformTableNamesToPublish	Tots els perfils han de tenir informat les 'TableNames' a publicar.
VerifyingAccessToken	Verificant AccessToken
DatasetRead	Llegit dataset
UploadCompleted	Pujada finalitzada.
SendEmail	Enviament correu electrònic
NotExistsParameter	No hi ha {0}
FailedToImportData	Decisió a l'importar les dades
ParameterBetweenSquareBracketsNotAResourceFolder	[{0}] No és una carpeta de recursos.
ServerBackupParameterBetweenParentheses	Backup servidor ({0})
DatabaseParameter	Base de dades {0}
SearchForUpdatesParameterBetweenParentheses	Cerca d'actualitzacions ({0})
CompressingParameter	Comprimint {0}
DownloadedParameterBytesParenthesesParameterMilliseconds	Descarregats {0} bytes ({1} milisegons).
UnknownParenthesesReleaseParameter	Desconegut (release {0})
TheDirectoryDoesNotExistsParameterBetweenParentheses	El directori no existeix ({0})
TheCompressedFileParameterBetweenQuotesContainsMoreThanOneFile	El fitxer comprimit '{0}' conté més d'un fitxer.
TheFileNotWithinBaseFolderParameterBetweenParentheses	El fitxer no està dins de la carpeta base ({0}).
TheFileDoesNotExistsParameterBetweenParentheses	El fitxer no existeix ({0})
TheNugetPackageNotHasExpectedContentParameterBetweenParentheses	El paquet de Nuget no té el contingut esperat ({0})
TheZipNotContainsCompressedFolderParameterBetweenParentheses	El ZIP no conté una carpeta comprimida ({0}).
OldBackupDeletedColonParameter	Eliminada còpia de seguretat antiga: {0}
ErrorWhileSendingEmailParameterBetweenParentheses.	Error a l'enviar un correu ({0}).
ErrorReadingWritingColonParameter	Error a l'llegir / escriure: {0}
ThisFolderAlreadyGitRepositoryParameterBetweenParentheses	Aquesta carpeta ja és un repositori de GIT ({0})
FileStatusNotContemplatedParameterBetweenParenthesesAndQuotes	Estat de el fitxer no contemplat ( '{0}')
ExistsUpdateAvailableWillBeDownloadedAndInstalledAutomaticallyParenthesesUpdateColonParameter	Hi ha una actualització disponible. Es descarregarà i instal·larà automàticament. (Actualització: {0})
ThereAreSeveralRecordsOfParameter	Hi ha diversos registres de {0}.
FailtureHileLinkingColumnParameter	Decisió a l'vincular la columna {0}
SheetParameterBetweenQuotesCreatedCorrectly	Full '{0}' creada correctament
ImageParameter	Imatge {0}
TheYamlHeaderOfResourceHeaderNotCorrectParameterBetweenParenthesesAndSquareBrackets	La capçalera YAML de la capçalera de recursos no és correcta ([{0}])
TheFolderParameterBetweenQuotesAlreadyExists	La carpeta '{0}' ja existeix.
QueueFullNoAdditionalMessageWillBeLoaded	La cua està plena. No es carregarà cap missatge addicional
TheTableParameterBetweenQuotesNotHaveRecordsBulkIsOmited	La taula '{0}' no té cap registre. S'omet el BULK.
LastVersionAvailableIsParameterParenthesesCurrentVersionColonParameter	L'última versió disponible és {0} (Versió actual: {1}).
LastVersionAvailableIsParameterAlthoughWillNotBeInstalledNowBecauseCurrentExecutionModeParameterBetweenParentheses	L'última versió disponible és {0}, encara que no s'instal·larà ara per la manera d'execució actual ({1})
ParameterReadMessages	Llegits {0} missatges
ReadingDirectoryColonParameter	Llegint directori: {0}
ReadingExcelTableColonParameter	Llegint taula Excel: {0}
NotNeededToDeleteFileBecauseNotExistsColonParameter	No cal eliminar el fitxer perquè no existeix: {0}
NotValidXMLFileParameterBetweenParenthesesColonParameter	No és un fitxer XML vàlid ({0}): {1}.
NotANugetPackageParameterBetweenParentheses	No és un paquet de Nuget ({0})
NotAGitRepositoryColonParameter	No és un repositori GIT: {0}
TheSpecfiedDirectoryDoesNotExistsParameterBetweenParentheses	No existeix el directori especificat ({0})
TheSearchedRecordDoesNotExistsParameter	No existeix el registre buscat de {0}.
NotExistsAvailableUpdateParenthesesCurrentVersionColonParamether	No hi ha cap actualització diponible (Versió actual: {0})
ThereAreNoOldBackupsPendingToDelete	No hi ha còpies de seguretat antigues pendents d'eliminar.
ThereIsNoRegisteredServerThatUseAmazonBucketCalledParameterBetweenQuotes	No hi ha cap servidor registrat que utilitzi un bucket de amazon anomenat '{0}'
BranchNotFoundColonParameter	No s'ha trobat la branca: {0}
NoBackupFoundInIndicatedLocationParameterBetweenParentheses	No s'ha trobat cap còpia de seguretat en la ubicació indicada. ({0})
OutputFolderNotSpecifiedParameterBetweenParentheses	No s'ha especificat la capreta de sortida. ({0}).
PageToGenerateNotSpecifiedParameter	No s'ha especificat la pàgina a generar. ({0}).
CouldNotDeleteTheFolderParameterBetweenQuotes	No s'ha pogut eliminar la carpeta '{0}'
UrlNotRecognizedAsAwsS3ValidAddressParameterBetweenParentheses	No es reconeix la URL com una direccíon de AWS S3 vàlida ({0})
ObtainDataParameterBetweenParentheses	Obtenir dades ({0})
ReadyToExtractAndLoadTableDataParameter	Preparat per extreure i carregar les dades de la taula {0}
ReadyToExtractAndLoadFileDataParameter	Preparat per extreure i carregar les dades de l'arxiu {0}
UnexpectedProblemGeneratingThePageParameter	Problema imprevist generant pàgina {0}
PerformedBulkInsertOnParameter	Realitzat BULK INSERT sobre {0}.
PerformedBulkInsertonParameterParenthesesParameterReadRecords	Realitzat BULK INSERT sobre {0} ({1} registres llegits)
ParameterMessagesWillBeEnqueueToFillTheQueue	Es encolarán {0} missatges per omplir la cua.
AnUnexpectedFileHasBeenDeletedColonParameter	S'ha esborrat un fitxer inesperat: {0}
TheBackupHasBeenCompressedColonParameter	S'ha comprimit la còpia de seguretat: {0}
TheBackUpHasBeenCreatedColonParameter	S'ha creat la còpia de seguretat: {0}
LoadOfParameterFilesStartsParenthesesParameterMb	S'inicia la càrrega de {0} arxius ({1} Mb.).
DownloadOfParameterIntoParameterBetweenQuotesStarts	S'inicia la descàrrega de {0} a '{1}'
UploadToParameterInThePathParameterBetweenParenthesesStartsParenthesesParameterKb	S'inicia la pujada a {0} a la ruta '{1}' ({2} Kb)
UploadToParameterOfParameterBetweenParenthesesStartsParenthesesParameterKb	S'inicia la pujada a {0} de '{1}' ({2} Kb)
UploadOfParameterFilesStarts	S'inicia la pujada de {0} arcihvos.
FileSizeParameterKb	Mida de fitxer {0} Kb
VerifyingProfileColonParameter	Verificant Profile: {0}
LookingForDifferences	Buscant diferències
Quote	Cita
EmailSended	Correu enviat.
ViewCreation	Creació vista
CreateTables	Crear taules
DownloadComplete	Descàrrega finalitzada.
Decompressing	Descomprimint.
RotationSchemeColon	Esquema rotació:
FileCopied	Fitxer copiat.
CubeGeneration	Generació de la galleda
GeneratingExcelEllipsis	Generant Excel ...
GeneratingParameterBetweenQuotes	Generarando '{0}'
ReadingParameter	Llegint {0}
NotDetected	No detectat
Synchronization	Sincronització
UnexpectedSituation	Situació imprevista
FrameworkDotNetColonParameter	Framework .Net: {0}
UnrecognizedActionOrJob	Acció o treball no reconegut.
TooManyArguments	Massa arguments.
UsageModeColonCronoConsoleDotExeSquareBracketsNameOfTheJobToExecute	Mode d'ús: CronoConsole.exe [nom de l'job a executar]
AllImagesAreAccesibleCheck	- Totes les imatges són accessibles. (✅)
SheetParameterBetweenQuotesCreatedWithTheFollowingErrorsColonParameter	Full '{0}' creada amb els següents errors:|{1}
ItIsNotPossibleToCreateTheGoogleEventBecauseIsNecessaryToSpecifyTheStartDateBetweenQuotes	No és possible crear l'GoogleEvent perquè cal especificar el 'startdate'
ItIsNotPossibleToCreateTheGoogleEventBecauseIsNecessaryToSpecifyTheTitleBetweenQuotes	No és possible crear l'GoogleEvent perquè cal especificar el 'Títol'
TheCalendarIdHasNotBeenDefined	No s'ha definit el CalendarID.
ShowValues	Veure valors
Actions	Accions
ParameterAlreadyExistsAskWantReplaceIt	'{0}' ja existeix.|Voleu reemplaçar-lo?
TheFolderLowerCase	la carpeta
TheCubeElementLowerCase	l'element de la galleda
AskWantRemoveParameterParameterBetweenQuotes	Voleu eliminar {0} '{1}'?
TheDestinationFileMightNotBeSameTypeAskOverwriteServerFile	El fitxer de destí podria no ser de el mateix tipus.|Sobreescriure fitxer de servidor?
TheFileHasBeenDeletenOnTheServerAskPublishAgain	El fitxer ha estat esborrat al servidor.|¿Tornar a publicar?
AConstructorWithASingleParameterHasNotBeenFoundInEditorParameterBetweenQuotesCreateConstructorToBeAbleToCreateNewElementsOfTypeParameterBetweenQuotes	No s'ha trobat un costructor amb un únic paràmetre en l'editor '{0}'.|Creu el constructor per poder crear nou elements de l'tipus '{1}'
AreUniqueCandidatesColon	són candidates a úniques:
ThisFilterAppliesToTheFollowingSheetsColonParameter	Aquest filtre s'aplica a les següents fulls: {0}
TheParametersParametersHaveNotBeenDefined	Els paràmetres {0} no s'han definit.
HyphenHyphenServiceUrlColonParameter	- Url de el servei: {0}
ParameterWarningColonNoViewModelsConstructorRegisteredForCollectionTypeParameter	{0} Notes: No s'ha registrat cap constructor d'ViewModels per a una col·lecció de tipus '{1}'
ParameterBetweenQuotesDeletesSuccessfully	'{0}' eliminat correctament.
ParameterDeletedBetweenParentheses	{0} (eliminat)
NameVersionCultureLocationBarSeparated	| nom | versió | Culture | ubicació |
AskWantDeleteFilterParameterBetweenQuotes	Voleu esborrar el filtre '{0}'?
AskWantDeleteCubeParameterBetweenQuotes	Voleu eliminar la galleda '{0}'?
AskWantDeleteTheParameterParameter	Voleu eliminar el paràmetre {0}?
AskWantDeleteConnectionParameterBetweenQuotes	Voleu eliminar la connexió '{0}'?
AskWantDeleteTheLicenseCurrentlyUsing	Voleu eliminar la llicència que utilitzeu actualment?
AskWantDeleteAllSelectedCubeElements	Voleu eliminar tots els elements seleccionats de la galleda?
AskDeleteParameterBetweenQuotes	¿Eliminar '{0}'?
