_New;Novo
DeveloperMode;Modo de desenvolvimento
CollectionAlreadyBeingUpdatedExceptionMessage;A coleção já está sendo atualizada.
QueryResultNotScalarExceptionMessage;A consulta deve retornar um registro e uma coluna.
QueryResultEmptyMustBeSingleRowExceptionMessage;A consulta não retornou nenhum registro. Você deve retornar exatamente 1.
QueryResultMoreThanOneRowMustBeSingleRowExceptionMessage;A consulta retornou {0} registros. Você deve retornar exatamente 1.
ExecutingTheQuery;Executando a consulta
RowsHaveBeenObtainedParameter;{0} linhas foram obtidas
NullActionsToExecuteExceptionMessage;Você deve definir as ações a serem executadas (Ações).
NullDataVariablesExceptionMessage;As variáveis (Dados) devem ser definidas.
ProvidedServerAddressIsMisspelledMessage;O endereço do servidor fornecido está incorreto.
ProvidedServerAddressNotCronoServerMessage;O endereço fornecido não corresponde a um servidor crono.
CronoServerConnectionHasBeenEstablished;A conexão com o servidor foi estabelecida.
ExpressionAlreadyBeenSetted;A expressão já foi estabelecida
InstructionNotASELECTStatement;A instrução não é uma instrução SELECT
UrlIncorrectFormatParameterBetweenQuotes;O URL '{0}' não tem um formato correto.
UrlNotUsingS3ProtocolExceptionMessage;O URL não usa o protocolo s3
ShowingPartialResults;Mostrando resultados parciais.
UnneededCallExceptionMessage;Não precisa ligar aqui
DeleteDirectoryConfirmation;Tem certeza de que deseja excluir este diretório e todo o seu conteúdo?
DeleteFileConfirmation;Tem certeza de que deseja excluir este arquivo?
_404FileNotFound;404. O caminho do arquivo solicitado não foi encontrado
ServerIsNotInformed;O servidor não está informado.
ResourceDirectoryNotExistsParameterBetweenQuotes;A pasta de recursos '{0}' não existe
DataBaseConnectionNotExistsParameter;Não há conexão "{0}" para acessar o banco de dados.
NoDataBaseConectionEstablished;Não há conexão estabelecida com um banco de dados.
ConditionNotMet;A condição não é atendida.
FileNotFoundParameter;Arquivo {0} não encontrado
FileNotFoundOfColon;O arquivo de:
FileToSaveNotSpecified;O arquivo onde salvar não foi especificado
ConnectionNotSpecified;A conexão não foi especificada.
ServerUrlNotSpecified;Endereço de URL do servidor não especificado
SourceCatalogOfCubeNotSet;O catálogo de origem deste cubo não foi estabelecido.
MessageOutputNotSet;Saída de mensagem não definida
CouldNotAccessToParameter;Não foi possível acessar '{0}'
CouldNotExecuteActionCorrectlyMaxIterationCount;A ação não pôde ser executada corretamente, o número máximo de iterações foi atingido.
CouldNotFindInexistentTempFile;Não foi possível encontrar um arquivo temporário inexistente
CouldNotConnectMailServerCheckFieldAndRetry;Não foi possível conectar-se ao servidor de correio, verifique os campos ou tente novamente mais tarde.
CouldNotSaveFileParameterColonParameter;Não foi possível salvar o arquivo '{0}': {1}
CannotCreateEngineUndefinedHandlerFile;Você não pode criar um mecanismo porque o arquivo Handler não está definido.
CannotCreateDirectConnectionToCronoServerConnection;Você não pode criar uma conexão direta com uma cadeia de conexão do tipo Crono Server
KeyNameColonParameter;Nome da chave: {0}
MachineNameColonParameter;Nome da equipe: {0}
IndexNameColonParameter;Nome do índice: {0}
PanelParameter;Painel {0}
UpdateRuleColonParameter;Regra de atualização: {0}
DeleteRuleColonParameter;Excluir regra: {0}
BadRouteDefinitionColonParameter;Rota mal definida: {0}
ConditionIsMetActionsWillBeExecuted;A condição é atendida. As ações serão executadas.
NullForEachItemsExceptionMessage;A consulta do bloco FOR EACH (Items) deve ser definida.
NullForEachActionsExceptionMessage;As ações do bloco FOR EACH (Actions) devem ser definidas.
NullCronoSqlCodeToExecuteExceptionMessage;Você deve definir o código SQL do Crono para executar (código).
NullConditionExceptionMessage;A condição deve ser definida (Condição)
DataBaseParameterBetweenQuotesHasBeenDeleted;O banco de dados '{0}' foi excluído
FollowingActionsHaveBeenExecutedColon;As seguintes ações foram executadas:
AllAccountDataCorrectlyEvaluated;Todos os dados da conta foram avaliados corretamente.
RecompileRequiredToIncorporateChanges;Você precisa recompilar para incorporar as alterações:
BadSegmentDefinitionColonParameter;Segmento mal definido: {0}
DestinationTableColonParameter;Tabela de destino: {0}
SourceTableColonParameter;Tabela de origem: {0}
HasDiferentFilesCountDotParameterBetweenParentheses;Eles têm um número diferente de arquivos. ({0})
HasDiferentSubfoldersCountDotParameterBetweenParentheses;Eles têm um número diferente de subpastas. ({0})
UnsupportedDataTypeColonParameter;Tipo de dados não suportado: {0}
DataTypeColonParameter;Tipo de Dados: {0}
UserColonParameter;Usuário: {0}
UndefinedVariableInDictionaryKeyColonParameterBetweenParentheses;Variável não definida no dicionário (chave: {0})
ParameterEmpty;{0} em branco
ParameterRowsRead;{0} linhas lidas.
ParameterCorrectlyExecuted;{0} executado com sucesso
ParameterRecordsAffected;{0} registros afetados.
FileRemovedFromRecentList;Arquivo excluído da lista recente
FileNotExistsColon;O arquivo não existe:
ItemNotFoundColon;Item não encontrado:
DataSourceIsNotInformed;O DataSource não é informado.
CouldNotAccessToRouteParameterBetweenQuotes;Não foi possível acessar a rota '{0}'
CronoBusinessIntelligencePlatform;Plataforma de Inteligência de Negócios Crono
InvertTableColumnXNotUniqueValues;Para reverter a tabela, a coluna '{0}' deve ter valores exclusivos.
ParameterFilteredByParameter;{0} filtrado por {1}
Columns;Colunas
BusinessItem;Elemento de negócios
_Default;Padrão
WithoutProxy;Sem proxy
Values;Valores
Action;Acção
Configuration;Configuração
Executed;Executado
ErrorParameterParameter;Erro {0} {1}
UnexpectedError;Erro imprevisto
Information;Informação
Numerical;Numérico
Job;Trabalho
ParameterAndParameter;{0} e {1}
_Date;Data
AndLowerCase;e
OrLowerCase;ou
FilteredBetweenParentheses;(filtrado)
SubqueryBetweenParentheses;(Subconsulta)
AllBetweenParentheses;(Todos)
CompatibleFilesParameterBetweenParenthesesBarParameterBar;Arquivos suportados ({0}) | {1} |
LogLocationColon;Local do log:
Warning;Advertência
TextFile;Arquivo de texto
BatchFiles;Arquivos em lote
CsvFiles;Arquivos CSV
ImageFiles;Arquivos de imagem
ExecutableFiles;Arquivos executáveis
EtlFiles;Arquivos ETL
ScheduleFiles;Arquivos de agendamento
SqlFiles;Arquivos SQL
TmpFiles;Arquivos tmp
XpsFiles;Arquivos XPS
_Boolean;Booleano
_String;Corrente
WithProxy;Com proxy
LocalCube;Balde local
Count;Contagem
UserData;Dados do usuário
AutomaticDetection;Detecção automática
RtfFormat;Formato RTF
Formula;Formula
BmpImage;Imagem BMP
EmfImage;Imagem EMF
JpegImage;Imagem JPEG
PngImage;Imagem PNG
TIFFImage;Imagem TIFF
Report;Relatório
GetCall;Chamada GET
PostCall;Chamada POST
Maximum;Máximo
Minimum;Mínimo
None;Nenhuma
NameColonParameter;Nome: {0}
Average;Média
CronoEtlProject;Projeto ETL Crono
TestsResults;Resultados do teste
Secondary;Secundário
Sum;Soma
PrintableReport;Relatório imprimível
ValuesLowercase;valores
ValueLowercase;valor
Properties;Propriedades
Update;Update
Help;Ajuda
Connection;Ligação
Query;Consulta
Options;Opções
Open;Aberto
Close;Fechar
Delete;Remover
Modify;Modificar
Table;Tabela
Tables;Tabelas
File;Arquivo
Copy;Copiar
Status;Estado
Image;Imagem
Parameter;Parâmetro
DatabaseColonParameter;Banco de Dados: {0}
View;Vista
NewDocument;Novo documento
CheckJoins;Verificar relacionamentos
Folder;Pasta
Scheme;Esquema
CreationDate;Data de criação
Database;Base de dados
LastModification;Última modificação
Name;Primeiro nome
Multivalue;Multi-valor
ActionColon;Ação:
DateColon;Data:
AllRightsReserved;Todos os direitos reservados.
Hyperlink;Hiperlink
Obsolete;Obsoleto
ErrorReadingParameter;Erro ao ler {0}
NotKnownNamespaceParameterBetweenQuotes;O espaço para nome '{0}' é desconhecido
CouldNotSaveOnTheServerParameterBetweenParentheses;Não foi possível salvar no servidor ({0}).
NotSupportedResponseParameterBetweenParentheses;Resposta não suportada ({0})
CssSelectorAbsentOrBadlyDefined;Seletor de CSS ausente ou mal definido.
Yes;Sim
ItMustOnlyBeCalledIfTheNodeIsFile;Só deve ser chamado se o nó for <arquivo>.
AnItemWithSameKeyParameterBetweenQuotesWasAlreadyAdded;Um item com a mesma chave '{0}' já foi adicionado
Group;Grupo
UnrecognizedTransformationType;Tipo de transformação não reconhecido.
SystemLanguage;Idioma do sistema
Spanish;Espanhol
English;Inglês
Equal;Same
InTheList;Na lista
Distinct;Diferente
OutOfTheList;Fora da lista
LessThan;Menos que
GreaterThan;Maior do que
LessThanOrEqualTo;Menor ou igual a
GreaterThanOrEqualTo;Maior ou igual a
Between;Entre
NotContains;Não contém
StartsWith;Comece por
NotStartsWith;Não começa com
EndsWith;Termina em
NotEndsWith;Não termina em
LikePattern;Como patrono
NotLikePattern;Não é como o padrão
IsNull;É nulo
IsNotNull;Não é nulo
That;Que
ThatNot;Que não
InSubQuery;Na subconsulta
NotInSubquery;Não está na subconsulta
Key;Key
Value;Valor
Add;Adicionar
Up;Para cima
Down;Saia
Executing;Em execução
Variable;Variável
Queries;Consultas
SendEmailParameterBetweenParentheses;Enviando email ({0})
FileOfParameterMbUploadedToColonParameter;Arquivo de {0} Mb carregado para: {1}
CurrentlyOnlyCompressedCopiesSupported;Atualmente, apenas cópias compactadas (.zip) são suportadas
DataBasePatternBetweenParenthesesColon;Banco de dados (padrão):
EachMarkdownbuilderCanOnlyBeUsedOnce;Cada Markdownbuilder pode ser usado apenas uma vez.
UnknownFileContent;Conteúdo de arquivo não reconhecido.
ExcelContentNotDefined;Conteúdo do Excel não definido
EmailNotSendedParenthesesBecauseIsTesting;Correio não enviado (para teste).
SourceMustBeSpecified;Você deve especificar uma fonte
TheDestinationFileOutputMustBeDefined;O arquivo de destino (Saída) deve ser definido.
TablesBetweenQuotesPropertyMustBeDefined;A propriedade 'Tabelas' deve ser definida
DuringTestsNotPublished;Durante os testes, não é publicado
TheCubeHasBeenGeneratedCorrectly;O cubo foi gerado corretamente
TheFileMustHaveZipExtension;O arquivo deve ter uma extensão ZIP
ExcelFileWithSeveralTableCannotUseUseExcelFilenameAsTableName;O arquivo do Excel possui várias tabelas, portanto você não pode usar a opção 'UseExcelFilenameAsTableName'
ExistingSnapshotInDestinationFolderNotMatchLocationInSourceFolder;O instantâneo na pasta de destino não corresponde ao local da pasta de origem.
ZipNotContainsSingleFile;O ZIP não contém um único arquivo
EnquecuedTheStatusUpdate;Atualização de status colada
ItIsNeededSmtpAccountToSendEmail;É necessário especificar a conta SMTP para enviar o email.
ItIsNeededRequestUri;Você precisa especificar [RequestUri].
ItIsNeededInformExcelFile;É necessário informar o 'ExcelFile'.
ItIsNeededToInformProfilesList;É necessário informar a lista de 'Perfis'.
ThisDeviceNotConfiguredToUseGoogleCalendarService;Este dispositivo não está configurado para usar o serviço Google Agenda.
ThisJobHasNoActionDefined;Este trabalho não possui ação definida.
ThisLogHasNotBeenSaved;Este log não foi salvo.
ThisRecordBelongsAnotherDatabase;Este registro pertence a outro banco de dados.
ThisTypeNotInheritDatabase;Este tipo não herda do banco de dados
TablesStructuresNotSupported;Estrutura da tabela não suportada.
EventCorrectlyRegistered;Evento registrado com sucesso.
ExcelGeneratedCorrectly;Excel gerado com sucesso
UnknownActionExists;Há uma ação desconhecida.
MissingMemoryLocationQuestion;Está faltando um local de memória?
DatabaseRestorationHasBeenCompleted;A restauração do banco de dados está concluída.
UnexpectedErrorOccurredWhileExecutingQuery;Ocorreu um erro inesperado ao executar uma consulta.
ErrorOccurredDuringCubeCreation;Ocorreu um erro durante a criação do cubo
DeviceIdentification;Identificação do dispositivo
DestinationFolderCannotBeInsideSourceFolder;A pasta de destino não pode estar dentro da pasta de origem.
SourceFolderCannotBeInsideDestinationFolder;A pasta de origem não pode estar dentro da pasta de destino.
EntityNotAssociatedWithDatabase;A entidade não está associada a nenhum banco de dados.
EntityAlreadyAssociatedWithDatabase;A entidade já está associada a um banco de dados.
TableStructureIsUnknown;A estrutura da tabela é desconhecida.
ImagesNotWellSorted;As imagens não estão bem ordenadas
TheSourceExcelFileNotExists;O arquivo Excel de origem não existe.
ThereAreNoFilesInStage;Não há arquivos no palco.
ThereIsNoFilePendingToLoad;Não há arquivo com upload pendente
RotationSchemeNotDefined;O esquema de rotação não foi definido.
JoinBetweenTablesNotFound;O relacionamento entre essas duas tabelas não foi encontrado.
BaseDirectoryNotSpecified;O diretório base (Diretório) não foi especificado
SourceDirectoryNotSpecified;O diretório de origem (SourceDirectory) não foi especificado.
XmlFileNotSpecified;O arquivo XML (arquivo) não foi especificado
AmazonBucketNameNotSpecified;Nome do bucket da Amazon não especificado.
FileNameToLoadNotSpecified;O nome do arquivo a ser carregado (Nome do arquivo) não foi especificado.
NameOfSourceDatabaseNotSpecified;O nome original do banco de dados (SourceDatabaseName) não foi especificado.
TargetSchemaNotSpecified;'TargetSchema' não especificado
BakDirectoryNotSpecified;A pasta na qual o backup (BakDirectory) não foi especificada.
DatasetLocationNotSpecified;Local do 'conjunto de dados' não especificado
TablesToLoadNotSpecified;As tabelas a serem carregadas (tabelas) não foram especificadas.
CouldNotCreateEventInGoogleCalendar;Não foi possível criar o evento no Google Agenda.
CouldNotDetermineCurrentVersion;A versão atual não pôde ser determinada.
CouldNotDetermineIfExistsAnyUpdateAvailable;Não foi possível determinar se há atualizações disponíveis
CouldNotDeleteTheEvent;Não foi possível excluir o evento.
CouldNotObtainEventInfo;Não foi possível obter informações do evento.
CannotDiscardChangesOnFileWithoutChanges;Você não pode descartar alterações em um arquivo que não possui alterações.
ItHasNotSenseToFindItself;Não faz sentido se encontrar.
ServerNameColon;Nome do servidor:
NullProfileOrBadlyDefined;Perfil nulo ou mal definido.
RestoringDatabase;Restaurando banco de dados.
ItIsNeededSpecifyWhereUnzip;Você deve especificar onde deseja descompactar
DestinationAmazonBucketMustBeSpecified;O Amazon Bucket de destino (destino) deve ser especificado
S3BucketWhereUploadDirectoryMustBeSpecified;Você deve especificar o S3 Bucket para fazer upload do diretório (Bucket).
DirectoryToUploadMustBeDefined;Você deve especificar o diretório a ser carregado (Diretório).
DestinationDirectoryMustBeSpecified;O diretório de destino (TargetDirectory) deve ser especificado
SourceDirectoryMustBeSpecified;O diretório de origem deve ser especificado (SourceDirectory)
FolderToSynchronizeMustBeSpecified;Você deve especificar a pasta para sincronizar (SourceDirectory)
BucketRegionMustBeSpecified;A região do balde deve ser especificada.
DestinationBucketMustBeSpecified;O destino 'Bucket' deve ser especificado.
DestinationTableMustBeSpecifiedIntoTargetTableTag;A tabela de destino deve ser especificada no targetTable TAG.
BackupPathMustBeSpecified;O caminho em que o backup deve ser especificado é especificado.
BackupStartsAtColon;O backup inicia em:
DownloadFolderMustBeDefined;Você precisa definir a pasta de download (BakDirectory)
AllTablesHaveBeenGeneratedCorrectly;Todas as tabelas foram geradas com sucesso
AllProfilesMustInformTableNamesToPublish;Todos os perfis devem ter informado os 'TableNames' para publicação.
VerifyingAccessToken;Verificando o AccessToken
DatasetRead;Ler conjunto de dados
UploadCompleted;Upload concluído.
SendEmail;Eu envio email
NotExistsParameter;Não existe {0}
FailedToImportData;Falha ao importar dados
ParameterBetweenSquareBracketsNotAResourceFolder;[{0}] Não é uma pasta de recursos.
ServerBackupParameterBetweenParentheses;Servidor de backup ({0})
DatabaseParameter;Banco de Dados {0}
SearchForUpdatesParameterBetweenParentheses;Procure por atualizações ({0})
CompressingParameter;Compactando {0}
DownloadedParameterBytesParenthesesParameterMilliseconds;{0} bytes baixados ({1} milissegundos).
UnknownParenthesesReleaseParameter;Desconhecido (versão {0})
TheDirectoryDoesNotExistsParameterBetweenParentheses;O diretório não existe ({0})
TheCompressedFileParameterBetweenQuotesContainsMoreThanOneFile;O arquivo compactado '{0}' contém mais de um arquivo.
TheFileNotWithinBaseFolderParameterBetweenParentheses;O arquivo não está dentro da pasta base ({0}).
TheFileDoesNotExistsParameterBetweenParentheses;O arquivo não existe ({0})
TheNugetPackageNotHasExpectedContentParameterBetweenParentheses;O pacote nuget não possui o conteúdo esperado ({0})
TheZipNotContainsCompressedFolderParameterBetweenParentheses;O ZIP não contém uma pasta compactada ({0}).
OldBackupDeletedColonParameter;Backup antigo excluído: {0}
ErrorWhileSendingEmailParameterBetweenParentheses.;Erro ao enviar um email ({0}).
ErrorReadingWritingColonParameter;Erro ao ler / gravar: {0}
ThisFolderAlreadyGitRepositoryParameterBetweenParentheses;Esta pasta já é um repositório GIT ({0})
FileStatusNotContemplatedParameterBetweenParenthesesAndQuotes;Status do arquivo não contemplado ('{0}')
ExistsUpdateAvailableWillBeDownloadedAndInstalledAutomaticallyParenthesesUpdateColonParameter;Há uma atualização disponível. Ele irá baixar e instalar automaticamente. (Atualização: {0})
ThereAreSeveralRecordsOfParameter;Existem vários registros de {0}.
FailtureHileLinkingColumnParameter;Falha ao vincular a coluna {0}
SheetParameterBetweenQuotesCreatedCorrectly;Folha '{0}' criada com sucesso
ImageParameter;Imagem {0}
TheYamlHeaderOfResourceHeaderNotCorrectParameterBetweenParenthesesAndSquareBrackets;O cabeçalho YAML do cabeçalho do recurso não está correto ([{0}])
TheFolderParameterBetweenQuotesAlreadyExists;A pasta '{0}' já existe.
QueueFullNoAdditionalMessageWillBeLoaded;A cauda está cheia. Nenhuma mensagem adicional será carregada
TheTableParameterBetweenQuotesNotHaveRecordsBulkIsOmited;A tabela '{0}' não possui registro. O GRANEL é omitido.
LastVersionAvailableIsParameterParenthesesCurrentVersionColonParameter;A versão mais recente disponível é {0} (versão atual: {1}).
LastVersionAvailableIsParameterAlthoughWillNotBeInstalledNowBecauseCurrentExecutionModeParameterBetweenParentheses;A versão mais recente disponível é {0}, embora não seja instalada pelo modo de execução atual ({1})
ParameterReadMessages;Leia {0} mensagens
ReadingDirectoryColonParameter;Diretório de leitura: {0}
ReadingExcelTableColonParameter;Lendo a tabela do Excel: {0}
NotNeededToDeleteFileBecauseNotExistsColonParameter;Não é necessário excluir o arquivo porque ele não existe: {0}
NotValidXMLFileParameterBetweenParenthesesColonParameter;Não é um arquivo XML válido ({0}): {1}.
NotANugetPackageParameterBetweenParentheses;Não é um pacote nuget ({0})
NotAGitRepositoryColonParameter;Não é um repositório GIT: {0}
TheSpecfiedDirectoryDoesNotExistsParameterBetweenParentheses;O diretório especificado não existe ({0})
TheSearchedRecordDoesNotExistsParameter;O registro pesquisado de {0} não existe.
NotExistsAvailableUpdateParenthesesCurrentVersionColonParamether;Não há atualização disponível (versão atual: {0})
ThereAreNoOldBackupsPendingToDelete;Não há backups antigos com exclusão pendente.
ThereIsNoRegisteredServerThatUseAmazonBucketCalledParameterBetweenQuotes;Não há servidor registrado que use um bucket da Amazon chamado '{0}'
BranchNotFoundColonParameter;Filial não encontrada: {0}
NoBackupFoundInIndicatedLocationParameterBetweenParentheses;Nenhum backup foi encontrado no local indicado. ({0})
OutputFolderNotSpecifiedParameterBetweenParentheses;O limite de saída não foi especificado. ({0}).
PageToGenerateNotSpecifiedParameter;A página a ser gerada não foi especificada. ({0}).
CouldNotDeleteTheFolderParameterBetweenQuotes;Não foi possível excluir a pasta '{0}'
UrlNotRecognizedAsAwsS3ValidAddressParameterBetweenParentheses;URL não reconhecido como um endereço AWS S3 válido ({0})
ObtainDataParameterBetweenParentheses;Obter dados ({0})
ReadyToExtractAndLoadTableDataParameter;Pronto para extrair e carregar dados da tabela {0}
ReadyToExtractAndLoadFileDataParameter;Pronto para extrair e carregar dados do arquivo {0}
UnexpectedProblemGeneratingThePageParameter;Problema imprevisto ao gerar a página {0}
PerformedBulkInsertOnParameter;Inserção em massa executada em {0}.
PerformedBulkInsertonParameterParenthesesParameterReadRecords;INSERÇÃO EM GRANEL realizada em {0} ({1} registros lidos)
ParameterMessagesWillBeEnqueueToFillTheQueue;As mensagens {0} serão coladas para preencher a fila.
AnUnexpectedFileHasBeenDeletedColonParameter;Um arquivo inesperado foi excluído: {0}
TheBackupHasBeenCompressedColonParameter;O backup foi compactado: {0}
TheBackUpHasBeenCreatedColonParameter;Backup criado: {0}
LoadOfParameterFilesStartsParenthesesParameterMb;Upload de {0} arquivos ({1} Mb.) Inicia.
DownloadOfParameterIntoParameterBetweenQuotesStarts;O download de {0} para '{1}' começa
UploadToParameterInThePathParameterBetweenParenthesesStartsParenthesesParameterKb;O upload para {0} começa na rota '{1}' ({2} Kb)
UploadToParameterOfParameterBetweenParenthesesStartsParenthesesParameterKb;O upload para {0} de '{1}' ({2} Kb) começa
UploadOfParameterFilesStarts;O upload de {0} arcihvos é iniciado.
FileSizeParameterKb;Tamanho do arquivo {0} Kb
VerifyingProfileColonParameter;Verificando perfil: {0}
LookingForDifferences;Procurando diferenças
Quote;Nomeação
EmailSended;Correio enviado
ViewCreation;Ver Criação
CreateTables;Criar tabelas
DownloadComplete;Download concluído.
Decompressing;Desembalar
RotationSchemeColon;Esquema de rotação:
FileCopied;Arquivo copiado.
CubeGeneration;Geração de cubo
GeneratingExcelEllipsis;Gerando Excel ...
GeneratingParameterBetweenQuotes;Gerando '{0}'
ReadingParameter;Lendo {0}
NotDetected;Não detectado
Synchronization;Sincronização
UnexpectedSituation;Situação imprevista
FrameworkDotNetColonParameter;Estrutura .Net: {0}
UnrecognizedActionOrJob;Ação ou trabalho não reconhecido.
TooManyArguments;Muitos argumentos.
UsageModeColonCronoConsoleDotExeSquareBracketsNameOfTheJobToExecute;Como usar: CronoConsole.exe [nome do trabalho a ser executado]
AllImagesAreAccesibleCheck;- Todas as imagens são acessíveis. (✅)
SheetParameterBetweenQuotesCreatedWithTheFollowingErrorsColonParameter;Folha '{0}' criada com os seguintes erros:|{1}
ItIsNotPossibleToCreateTheGoogleEventBecauseIsNecessaryToSpecifyTheStartDateBetweenQuotes;Não é possível criar o GoogleEvent porque é necessário especificar o 'StartDate'
ItIsNotPossibleToCreateTheGoogleEventBecauseIsNecessaryToSpecifyTheTitleBetweenQuotes;Não é possível criar o GoogleEvent porque é necessário especificar o 'Título'
TheCalendarIdHasNotBeenDefined;O CalendarID não foi definido.
ShowValues;Ver valores
Actions;Acções
ParameterAlreadyExistsAskWantReplaceIt;'{0}' já existe.|Deseja substituí-lo?
TheFolderLowerCase;a pasta
TheCubeElementLowerCase;o elemento do cubo
AskWantRemoveParameterParameterBetweenQuotes;Deseja remover {0} '{1}'?
TheDestinationFileMightNotBeSameTypeAskOverwriteServerFile;O arquivo de destino pode não ser do mesmo tipo.|Substituir arquivo do servidor?
TheFileHasBeenDeletenOnTheServerAskPublishAgain;O arquivo foi excluído no servidor.|Repostá-lo?
AConstructorWithASingleParameterHasNotBeenFoundInEditorParameterBetweenQuotesCreateConstructorToBeAbleToCreateNewElementsOfTypeParameterBetweenQuotes;Um limpador com um único parâmetro não foi encontrado no editor '{0}'.|Crie o construtor para poder criar novos elementos do tipo '{1}'
AreUniqueCandidatesColon;Eles são candidatos apenas para:
ThisFilterAppliesToTheFollowingSheetsColonParameter;Esse filtro se aplica às seguintes planilhas: {0}
TheParametersParametersHaveNotBeenDefined;Os parâmetros {0} não foram definidos.
HyphenHyphenServiceUrlColonParameter;- URL de serviço: {0}
ParameterWarningColonNoViewModelsConstructorRegisteredForCollectionTypeParameter;{0} Aviso: nenhum construtor ViewModels foi registrado para uma coleção do tipo '{1}'
ParameterBetweenQuotesDeletesSuccessfully;'{0}' excluído com sucesso.
ParameterDeletedBetweenParentheses;{0} (excluído)
NameVersionCultureLocationBarSeparated;| Nome Versão Cultura | Localização |
AskWantDeleteFilterParameterBetweenQuotes;Deseja excluir o filtro '{0}'?
AskWantDeleteCubeParameterBetweenQuotes;Deseja remover o cubo '{0}'?
AskWantDeleteTheParameterParameter;Deseja excluir o parâmetro {0}?
AskWantDeleteConnectionParameterBetweenQuotes;Deseja excluir a conexão '{0}'?
AskWantDeleteTheLicenseCurrentlyUsing;Deseja remover a licença que está usando no momento?
AskWantDeleteAllSelectedCubeElements;Deseja remover todos os elementos selecionados do cubo?
AskDeleteParameterBetweenQuotes;Excluir '{0}'?
AskDeleteTheJobParameterBetweenQuotes;Excluir o trabalho '{0}'?
OpenAllSubfolder;Abra todas as pastas
UpdateAvailableParameterBetweenParentheses;Atualização disponível ({0})
UpdateListOfValues;Atualizar lista de valores
JobManager;Job Manager
AddCalculatedColumn;Adicionar coluna calculada
AddCalculatedColumnElipsis;Adicionar coluna calculada ...
AddServerCronoExamples;Adicionar servidor 'Crono Examples'
TheDocumentMustBeSavedLocallyBeforePublishing;Antes da publicação, o documento deve ser salvo localmente.
