_New;Nouveau
ConditionIsMetActionsWillBeExecuted;La condition est remplie. Les actions seront exécutées.
NullForEachItemsExceptionMessage;La requête du bloc FOR EACH (Items) doit être définie.
NullForEachActionsExceptionMessage;Les actions du bloc POUR CHAQUE (Actions) doivent être définies.
NullCronoSqlCodeToExecuteExceptionMessage;Vous devez définir le code Crono SQL à exécuter (Code).
NullConditionExceptionMessage;La condition doit être définie (Condition)
DataBaseParameterBetweenQuotesHasBeenDeleted;La base de données '{0}' a été supprimée
FollowingActionsHaveBeenExecutedColon;Les actions suivantes ont été exécutées:
AllAccountDataCorrectlyEvaluated;Toutes les données de compte ont été correctement évaluées.
RecompileRequiredToIncorporateChanges;Vous devez recompiler pour intégrer les modifications:
BadSegmentDefinitionColonParameter;Segment mal défini: {0}
DestinationTableColonParameter;Table de destination: {0}
SourceTableColonParameter;Table source: {0}
HasDiferentFilesCountDotParameterBetweenParentheses;Ils ont un nombre différent de fichiers. ({0})
HasDiferentSubfoldersCountDotParameterBetweenParentheses;Ils ont un nombre différent de sous-dossiers. ({0})
UnsupportedDataTypeColonParameter;Type de données non pris en charge: {0}
DataTypeColonParameter;Type de données: {0}
UserColonParameter;Utilisateur: {0}
UndefinedVariableInDictionaryKeyColonParameterBetweenParentheses;Variable non définie dans le dictionnaire (clé: {0})
ParameterEmpty;{0} vide
ParameterRowsRead;{0} lignes lues.
ParameterCorrectlyExecuted;{0} exécuté avec succès
ParameterRecordsAffected;{0} enregistrements concernés.
FileRemovedFromRecentList;Fichier supprimé de la liste récente
FileNotExistsColon;Le fichier n'existe pas:
ItemNotFoundColon;Article non trouvé:
DataSourceIsNotInformed;Le DataSource n'est pas informé.
CouldNotAccessToRouteParameterBetweenQuotes;Impossible d'accéder à l'itinéraire '{0}'
CronoBusinessIntelligencePlatform;Plateforme Crono Business Intelligence
InvertTableColumnXNotUniqueValues;Pour inverser le tableau, la colonne '{0}' doit avoir des valeurs uniques.
ParameterFilteredByParameter;{0} filtré par {1}
Columns;Colonnes
BusinessItem;Élément métier
_Default;Par défaut
WithoutProxy;Pas de proxy
Values;Les valeurs
Action;Action
Configuration;Configuration
Executed;Exécuté
ErrorParameterParameter;Erreur {0} {1}
UnexpectedError;Erreur imprévue
Information;L'information
Numerical;Numérique
Job;Travail
ParameterAndParameter;{0} et {1}
_Date;Date
AndLowerCase;et
OrLowerCase;ou
FilteredBetweenParentheses;(filtré)
SubqueryBetweenParentheses;(Sous-requête)
AllBetweenParentheses;(Tous)
CompatibleFilesParameterBetweenParenthesesBarParameterBar;Fichiers pris en charge ({0}) | {1} |
LogLocationColon;Emplacement du journal:
Warning;Avertissement
TextFile;Fichier texte
BatchFiles;Fichiers batch
CsvFiles;Fichiers CSV
ImageFiles;Fichiers image
ExecutableFiles;Fichiers exécutables
EtlFiles;Fichiers ETL
ScheduleFiles;Planifier des fichiers
SqlFiles;Fichiers SQL
TmpFiles;Fichiers Tmp
XpsFiles;Fichiers XPS
_Boolean;Booléen
_String;String
WithProxy;Avec proxy
LocalCube;Godet local
Count;Compter
UserData;Données utilisateur
AutomaticDetection;Détection automatique
RtfFormat;Format RTF
Formula;Formule
BmpImage;Image BMP
EmfImage;Image EMF
JpegImage;Image JPEG
PngImage;Image PNG
TIFFImage;Image TIFF
Report;Rapport
GetCall;GET call
PostCall;Appel POST
Maximum;Maximum
Minimum;Minimum
None;Aucun
NameColonParameter;Nom: {0}
Average;Moyenne
CronoEtlProject;Projet ETL Crono
TestsResults;Résultats des tests
Secondary;Secondaire
Sum;Somme
PrintableReport;Rapport imprimable
ValuesLowercase;valeurs
ValueLowercase;valeur
Properties;Propriétés
Update;Mettre à jour
Help;Aide
Connection;Connexion
Query;Consultation
Options;Les options
Open;Ouverte
Close;Fermer
Delete;Supprimer
Modify;Modifier
Table;Table
Tables;Des tables
File;Archive
Copy;Copier
Status;État
Image;Image
Parameter;Paramètre
DatabaseColonParameter;Base de données: {0}
View;La vue
NewDocument;Nouveau document
CheckJoins;Vérifier les relations
Folder;Dossier
Scheme;Schéma
CreationDate;Date de creation
Database;Base de données
LastModification;Dernière modification
Name;Nom
Multivalue;Multi-valeur
ActionColon;Action:
DateColon;Date:
AllRightsReserved;Tous droits réservés.
Hyperlink;Hyperlien
Obsolete;Obsolète
ErrorReadingParameter;Erreur lors de la lecture de {0}
NotKnownNamespaceParameterBetweenQuotes;L'espace de noms '{0}' est inconnu
CouldNotSaveOnTheServerParameterBetweenParentheses;Impossible d'enregistrer sur le serveur ({0}).
NotSupportedResponseParameterBetweenParentheses;Réponse non prise en charge ({0})
CssSelectorAbsentOrBadlyDefined;Sélecteur CSS absent ou mal défini.
Yes;Oui
ItMustOnlyBeCalledIfTheNodeIsFile;Il ne doit être appelé que si le nœud est <fichier>.
AnItemWithSameKeyParameterBetweenQuotesWasAlreadyAdded;Un élément avec la même clé '{0}' a déjà été ajouté
Group;Groupe
UnrecognizedTransformationType;Type de transformation non reconnu.
SystemLanguage;Langue du système
Spanish;Espagnol
English;Anglais
Equal;Égal
InTheList;Sur la liste
Distinct;Différent
OutOfTheList;Hors de la liste
LessThan;Moins de
GreaterThan;Supérieur à
LessThanOrEqualTo;Inférieur ou égal à
GreaterThanOrEqualTo;Supérieur ou égal à
Between;Entre
NotContains;Ne contient pas
StartsWith;Commencez par
NotStartsWith;Ça ne commence pas par
EndsWith;Se termine dans
NotEndsWith;Ne se termine pas
LikePattern;En tant que mécène
NotLikePattern;Pas comme le motif
IsNull;Est nul
IsNotNull;Ce n'est pas nul
That;Quoi
ThatNot;Non
InSubQuery;En sous-requête
NotInSubquery;Pas dans la sous-requête
Key;Mot de passe
Value;Valeur
Add;Ajouter
Up;En haut
Down;Descendre
Executing;Courir
Variable;Variable
Queries;Requêtes
SendEmailParameterBetweenParentheses;Envoi d'un e-mail ({0})
FileOfParameterMbUploadedToColonParameter;Fichier de {0} Mo téléchargé sur: {1}
CurrentlyOnlyCompressedCopiesSupported;Actuellement, seules les copies compressées (.zip) sont prises en charge
DataBasePatternBetweenParenthesesColon;Base de données (modèle):
EachMarkdownbuilderCanOnlyBeUsedOnce;Chaque Markdownbuilder ne peut être utilisé qu'une seule fois.
UnknownFileContent;Contenu de fichier non reconnu.
ExcelContentNotDefined;Contenu Excel non défini
EmailNotSendedParenthesesBecauseIsTesting;Courrier non envoyé (pour test).
SourceMustBeSpecified;Vous devez spécifier une source
TheDestinationFileOutputMustBeDefined;Le fichier cible (Sortie) doit être défini.
TablesBetweenQuotesPropertyMustBeDefined;La propriété 'Tables' doit être définie
DuringTestsNotPublished;Pendant les tests, il n'est pas publié
TheCubeHasBeenGeneratedCorrectly;Le cube a été généré correctement
TheFileMustHaveZipExtension;Le fichier doit avoir une extension ZIP
ExcelFileWithSeveralTableCannotUseUseExcelFilenameAsTableName;Le fichier Excel comporte plusieurs tableaux, vous ne pouvez donc pas utiliser l'option «UseExcelFilenameAsTableName»
ExistingSnapshotInDestinationFolderNotMatchLocationInSourceFolder;L'instantané dans le dossier de destination ne correspond pas à l'emplacement du dossier source.
ZipNotContainsSingleFile;Le ZIP ne contient pas un seul fichier
EnquecuedTheStatusUpdate;Mise à jour du statut collé
ItIsNeededSmtpAccountToSendEmail;Il est nécessaire de spécifier le compte SMTP pour envoyer le courrier.
ItIsNeededRequestUri;Vous devez spécifier [RequestUri].
ItIsNeededInformExcelFile;Il est nécessaire d'informer le 'ExcelFile'.
ItIsNeededToInformProfilesList;Il est nécessaire de renseigner la liste des «Profils».
ThisDeviceNotConfiguredToUseGoogleCalendarService;Cet appareil n'est pas configuré pour utiliser le service Google Agenda.
ThisJobHasNoActionDefined;Ce travail n'a aucune action définie.
ThisLogHasNotBeenSaved;Ce journal n'a pas été enregistré.
ThisRecordBelongsAnotherDatabase;Cet enregistrement appartient à une autre base de données.
ThisTypeNotInheritDatabase;Ce type n'hérite pas de la base de données
TablesStructuresNotSupported;Structure de table non prise en charge.
EventCorrectlyRegistered;Événement enregistré avec succès.
ExcelGeneratedCorrectly;Excel généré avec succès
UnknownActionExists;Il y a une action inconnue.
MissingMemoryLocationQuestion;Un emplacement mémoire est-il manquant?
DatabaseRestorationHasBeenCompleted;La restauration de la base de données est terminée.
UnexpectedErrorOccurredWhileExecutingQuery;Une erreur inattendue s'est produite lors de l'exécution d'une requête.
ErrorOccurredDuringCubeCreation;Une erreur s'est produite lors de la création du cube
DeviceIdentification;Identification de l'appareil
DestinationFolderCannotBeInsideSourceFolder;Le dossier de destination ne peut pas se trouver dans le dossier source.
SourceFolderCannotBeInsideDestinationFolder;Le dossier source ne peut pas se trouver dans le dossier de destination.
EntityNotAssociatedWithDatabase;L'entité n'est associée à aucune base de données.
EntityAlreadyAssociatedWithDatabase;L'entité est déjà associée à une base de données.
TableStructureIsUnknown;La structure de la table est inconnue.
ImagesNotWellSorted;Les images ne sont pas bien ordonnées
TheSourceExcelFileNotExists;Le fichier Excel source n'existe pas.
ThereAreNoFilesInStage;Il n'y a aucun fichier en cours.
ThereIsNoFilePendingToLoad;Aucun fichier en attente de téléchargement
RotationSchemeNotDefined;Le schéma de rotation n'a pas été défini.
JoinBetweenTablesNotFound;La relation entre ces deux tables n'a pas été trouvée.
BaseDirectoryNotSpecified;Le répertoire de base (répertoire) n'a pas été spécifié
SourceDirectoryNotSpecified;Le répertoire source (SourceDirectory) n'a pas été spécifié.
XmlFileNotSpecified;Le fichier XML (fichier) n'a pas été spécifié
AmazonBucketNameNotSpecified;Nom de compartiment Amazon non spécifié.
FileNameToLoadNotSpecified;Le nom du fichier à charger (nom de fichier) n'a pas été spécifié.
NameOfSourceDatabaseNotSpecified;Le nom d'origine de la base de données (SourceDatabaseName) n'a pas été spécifié.
TargetSchemaNotSpecified;'TargetSchema' non spécifié
BakDirectoryNotSpecified;Le dossier où sauvegarder (BakDirectory) n'a pas été spécifié.
DatasetLocationNotSpecified;Emplacement de l'ensemble de données non spécifié
TablesToLoadNotSpecified;Les tables à charger (Tables) n'ont pas été spécifiées.
CouldNotCreateEventInGoogleCalendar;Impossible de créer un événement dans Google Agenda.
CouldNotDetermineCurrentVersion;La version actuelle n'a pas pu être déterminée.
CouldNotDetermineIfExistsAnyUpdateAvailable;Impossible de déterminer si des mises à jour sont disponibles
CouldNotDeleteTheEvent;L'événement n'a pas pu être supprimé.
CouldNotObtainEventInfo;Impossible d'obtenir les informations sur l'événement.
CannotDiscardChangesOnFileWithoutChanges;Vous ne pouvez pas exclure les modifications dans un fichier qui n'ont aucune modification.
ItHasNotSenseToFindItself;Cela n'a aucun sens de se retrouver.
ServerNameColon;Nom du serveur:
NullProfileOrBadlyDefined;Profil nul ou mal défini.
RestoringDatabase;Restauration de la base de données.
ItIsNeededSpecifyWhereUnzip;Vous devez spécifier où vous souhaitez décompresser
DestinationAmazonBucketMustBeSpecified;Le compartiment Amazon cible (cible) doit être spécifié
S3BucketWhereUploadDirectoryMustBeSpecified;Vous devez spécifier le compartiment S3 pour télécharger le répertoire (Bucket).
DirectoryToUploadMustBeDefined;Vous devez spécifier le répertoire à télécharger (Répertoire).
DestinationDirectoryMustBeSpecified;Le répertoire de destination (TargetDirectory) doit être spécifié
SourceDirectoryMustBeSpecified;Le répertoire source doit être spécifié (SourceDirectory)
FolderToSynchronizeMustBeSpecified;Vous devez spécifier le dossier à synchroniser (SourceDirectory)
BucketRegionMustBeSpecified;La région du compartiment doit être spécifiée.
DestinationBucketMustBeSpecified;La destination «Bucket» doit être spécifiée.
DestinationTableMustBeSpecifiedIntoTargetTableTag;La table cible doit être spécifiée dans le TAG targetTable.
BackupPathMustBeSpecified;Le chemin où la sauvegarde doit être spécifiée est spécifié.
BackupStartsAtColon;La sauvegarde commence à:
DownloadFolderMustBeDefined;Vous devez définir le dossier de téléchargement (BakDirectory)
AllTablesHaveBeenGeneratedCorrectly;Toutes les tables ont été générées avec succès
AllProfilesMustInformTableNamesToPublish;Tous les profils doivent avoir informé les «TableNames» pour publication.
VerifyingAccessToken;Vérification d'AccessToken
DatasetRead;Lire l'ensemble de données
UploadCompleted;Téléchargement terminé.
SendEmail;J'envoie un e-mail
NotExistsParameter;N'existe pas {0}
FailedToImportData;Impossible d'importer des données
ParameterBetweenSquareBracketsNotAResourceFolder;[{0}] Ce n'est pas un dossier de ressources.
ServerBackupParameterBetweenParentheses;Serveur de sauvegarde ({0})
DatabaseParameter;Base de données {0}
SearchForUpdatesParameterBetweenParentheses;Rechercher des mises à jour ({0})
CompressingParameter;Compression {0}
DownloadedParameterBytesParenthesesParameterMilliseconds;{0} octets téléchargés ({1} millisecondes).
UnknownParenthesesReleaseParameter;Inconnu (version {0})
TheDirectoryDoesNotExistsParameterBetweenParentheses;Le répertoire n'existe pas ({0})
TheCompressedFileParameterBetweenQuotesContainsMoreThanOneFile;Le fichier compressé '{0}' contient plusieurs fichiers.
TheFileNotWithinBaseFolderParameterBetweenParentheses;Le fichier ne se trouve pas dans le dossier de base ({0}).
TheFileDoesNotExistsParameterBetweenParentheses;Le fichier n'existe pas ({0})
TheNugetPackageNotHasExpectedContentParameterBetweenParentheses;Le package nuget n'a pas le contenu attendu ({0})
TheZipNotContainsCompressedFolderParameterBetweenParentheses;Le ZIP ne contient pas de dossier compressé ({0}).
OldBackupDeletedColonParameter;Ancienne sauvegarde supprimée: {0}
ErrorWhileSendingEmailParameterBetweenParentheses.;Erreur lors de l'envoi d'un e-mail ({0}).
ErrorReadingWritingColonParameter;Erreur de lecture / écriture: {0}
ThisFolderAlreadyGitRepositoryParameterBetweenParentheses;Ce dossier est déjà un référentiel GIT ({0})
FileStatusNotContemplatedParameterBetweenParenthesesAndQuotes;Statut du fichier non envisagé ('{0}')
ExistsUpdateAvailableWillBeDownloadedAndInstalledAutomaticallyParenthesesUpdateColonParameter;Une mise à jour est disponible. Il sera téléchargé et installé automatiquement. (Mise à jour: {0})
ThereAreSeveralRecordsOfParameter;Il existe plusieurs enregistrements de {0}.
FailtureHileLinkingColumnParameter;Impossible de lier la colonne {0}
SheetParameterBetweenQuotesCreatedCorrectly;Feuille '{0}' créée avec succès
ImageParameter;Image {0}
TheYamlHeaderOfResourceHeaderNotCorrectParameterBetweenParenthesesAndSquareBrackets;L'en-tête YAML de l'en-tête de ressource n'est pas correct ([{0}])
TheFolderParameterBetweenQuotesAlreadyExists;Le dossier '{0}' existe déjà.
QueueFullNoAdditionalMessageWillBeLoaded;La queue est pleine. Aucun message supplémentaire ne sera chargé
TheTableParameterBetweenQuotesNotHaveRecordsBulkIsOmited;La table '{0}' n'a pas d'enregistrement. Le BULK est omis.
LastVersionAvailableIsParameterParenthesesCurrentVersionColonParameter;La dernière version disponible est {0} (version actuelle: {1}).
LastVersionAvailableIsParameterAlthoughWillNotBeInstalledNowBecauseCurrentExecutionModeParameterBetweenParentheses;La dernière version disponible est {0}, bien qu'elle ne soit pas installée maintenant par le mode d'exécution actuel ({1})
ParameterReadMessages;Lire {0} messages
ReadingDirectoryColonParameter;Répertoire de lecture: {0}
ReadingExcelTableColonParameter;Lecture du tableau Excel: {0}
NotNeededToDeleteFileBecauseNotExistsColonParameter;Il n'est pas nécessaire de supprimer le fichier car il n'existe pas: {0}
NotValidXMLFileParameterBetweenParenthesesColonParameter;Ce n'est pas un fichier XML valide ({0}): {1}.
NotANugetPackageParameterBetweenParentheses;Ce n'est pas un paquet nuget ({0})
NotAGitRepositoryColonParameter;Ce n'est pas un référentiel GIT: {0}
TheSpecfiedDirectoryDoesNotExistsParameterBetweenParentheses;Le répertoire spécifié n'existe pas ({0})
TheSearchedRecordDoesNotExistsParameter;L'enregistrement recherché de {0} n'existe pas.
NotExistsAvailableUpdateParenthesesCurrentVersionColonParamether;Aucune mise à jour disponible (version actuelle: {0})
ThereAreNoOldBackupsPendingToDelete;Il n'y a aucune ancienne sauvegarde en attente de suppression.
ThereIsNoRegisteredServerThatUseAmazonBucketCalledParameterBetweenQuotes;Il n'y a aucun serveur enregistré qui utilise un compartiment Amazon appelé '{0}'
BranchNotFoundColonParameter;Branche introuvable: {0}
NoBackupFoundInIndicatedLocationParameterBetweenParentheses;Aucune sauvegarde n'a été trouvée à l'emplacement indiqué. ({0})
OutputFolderNotSpecifiedParameterBetweenParentheses;Le plafond de sortie n'a pas été spécifié. ({0}).
PageToGenerateNotSpecifiedParameter;La page à générer n'a pas été spécifiée. ({0}).
CouldNotDeleteTheFolderParameterBetweenQuotes;Impossible de supprimer le dossier '{0}'
UrlNotRecognizedAsAwsS3ValidAddressParameterBetweenParentheses;L'URL n'est pas reconnue comme une adresse AWS S3 valide ({0})
ObtainDataParameterBetweenParentheses;Obtenir des données ({0})
ReadyToExtractAndLoadTableDataParameter;Prêt à extraire et à charger les données de la table {0}
ReadyToExtractAndLoadFileDataParameter;Prêt à extraire et à charger les données du fichier {0}
UnexpectedProblemGeneratingThePageParameter;Problème imprévu lors de la génération de la page {0}
PerformedBulkInsertOnParameter;BULK INSERT exécuté sur {0}.
PerformedBulkInsertonParameterParenthesesParameterReadRecords;BULK INSERT effectué sur {0} ({1} enregistrements lus)
ParameterMessagesWillBeEnqueueToFillTheQueue;{0} messages seront collés pour remplir la file d'attente.
AnUnexpectedFileHasBeenDeletedColonParameter;Un fichier inattendu a été supprimé: {0}
TheBackupHasBeenCompressedColonParameter;La sauvegarde a été compressée: {0}
TheBackUpHasBeenCreatedColonParameter;Sauvegarde créée: {0}
LoadOfParameterFilesStartsParenthesesParameterMb;Le téléchargement de {0} fichiers ({1} Mo) démarre.
DownloadOfParameterIntoParameterBetweenQuotesStarts;Le téléchargement de {0} vers '{1}' commence
UploadToParameterInThePathParameterBetweenParenthesesStartsParenthesesParameterKb;Le téléchargement vers {0} commence sur l'itinéraire '{1}' ({2} Ko)
UploadToParameterOfParameterBetweenParenthesesStartsParenthesesParameterKb;Le téléchargement vers {0} de '{1}' ({2} Ko) commence
UploadOfParameterFilesStarts;Le téléchargement de {0} arcihvos démarre.
FileSizeParameterKb;Taille du fichier {0} Kb
VerifyingProfileColonParameter;Vérification du profil: {0}
LookingForDifferences;À la recherche de différences
Quote;Rendez-vous
EmailSended;Courrier envoyé
ViewCreation;Création de vue
CreateTables;Créer des tableaux
DownloadComplete;Téléchargement terminé.
Decompressing;Déballage
RotationSchemeColon;Schéma de rotation:
FileCopied;Fichier copié.
CubeGeneration;Génération de cube
GeneratingExcelEllipsis;Génération d'Excel ...
GeneratingParameterBetweenQuotes;Génération de '{0}'
ReadingParameter;Lecture {0}
NotDetected;Non détecté
Synchronization;La synchronisation
UnexpectedSituation;Situation imprévue
FrameworkDotNetColonParameter;Framework .Net: {0}
UnrecognizedActionOrJob;Action ou travail non reconnu.
TooManyArguments;Trop d'arguments.
UsageModeColonCronoConsoleDotExeSquareBracketsNameOfTheJobToExecute;Comment utiliser: CronoConsole.exe [nom du travail à exécuter]
AllImagesAreAccesibleCheck;- Toutes les images sont accessibles. (✅)
SheetParameterBetweenQuotesCreatedWithTheFollowingErrorsColonParameter;La feuille '{0}' a été créée avec les erreurs suivantes:|{1}
ItIsNotPossibleToCreateTheGoogleEventBecauseIsNecessaryToSpecifyTheStartDateBetweenQuotes;Il n'est pas possible de créer GoogleEvent car il est nécessaire de spécifier la 'StartDate'
ItIsNotPossibleToCreateTheGoogleEventBecauseIsNecessaryToSpecifyTheTitleBetweenQuotes;Il n'est pas possible de créer GoogleEvent car il est nécessaire de spécifier le 'Titre'
TheCalendarIdHasNotBeenDefined;Le CalendarID n'a pas été défini.
ShowValues;Voir les valeurs
Actions;Actions
ParameterAlreadyExistsAskWantReplaceIt;'{0}' existe déjà.|Voulez-vous le remplacer?
TheFolderLowerCase;le tapis
TheCubeElementLowerCase;l'élément du cube
AskWantRemoveParameterParameterBetweenQuotes;Voulez-vous supprimer {0} '{1}'?
TheDestinationFileMightNotBeSameTypeAskOverwriteServerFile;Le fichier de destination peut ne pas être du même type.|Écraser le fichier du serveur?
TheFileHasBeenDeletenOnTheServerAskPublishAgain;Le fichier a été supprimé sur le serveur.|Le republier?
AConstructorWithASingleParameterHasNotBeenFoundInEditorParameterBetweenQuotesCreateConstructorToBeAbleToCreateNewElementsOfTypeParameterBetweenQuotes;Un récupérateur avec un seul paramètre est introuvable dans l'éditeur '{0}'.|Créez le constructeur pour pouvoir créer de nouveaux éléments de type '{1}'
AreUniqueCandidatesColon;Ils ne sont candidats que pour:
ThisFilterAppliesToTheFollowingSheetsColonParameter;Ce filtre s'applique aux feuilles suivantes: {0}
TheParametersParametersHaveNotBeenDefined;Les paramètres {0} n'ont pas été définis.
HyphenHyphenServiceUrlColonParameter;- URL de service: {0}
ParameterWarningColonNoViewModelsConstructorRegisteredForCollectionTypeParameter;{0} Avertissement: aucun constructeur ViewModels n'a été enregistré pour une collection de type '{1}'
ParameterBetweenQuotesDeletesSuccessfully;'{0}' supprimé avec succès.
