_New;Neu
CubeWithUnknownColumnsExceptionMessage;Dieser Cube kann nicht ausgewertet werden, da er unbekannte Spalten enthält.
MultipleMethodsWithSameAttributeExceptionMessage;Es gibt verschiedene Methoden mit dem Attribut {0}
IncorrectExpressionColonParameter;Falscher Ausdruck: {0}
BadExtensionDefinitionExceptionMessage;Erweiterung {0} schlecht definiert
JoinDateAndDurationOfVerificationParameters;Überprüfungsdatum: {0}|Überprüfungszeit: {0} Sekunden
DateColonParameter;Datum: {0}
IncorrectFileFormat;Falsches Dateiformat
IncorrectVersionFormatColonParameter;Falsches Versionsformat: {0}
UserProfileAccessProblemExceptionMessage;Beim Zugriff auf das Benutzerprofil ist ein Problem aufgetreten.
HourStringToTimeSpanExceptionMessage;Stunde hh: mm: ss falsch {0}.
InitiallyDeferredColonParameter;Anfangs verschoben: {0}
RestrictionTypeColonParameter;Art der Einschränkung: {0}
ColumnCountColonParameter;Anzahl der Spalten: {0}
ColumnColonParameter;Spalte: {0}
TableColonParameterDotParameter;Tabelle: {0}. {1}
RestrictionNameColonParameter;Einschränkungsname: {0}
IncorrectInstallation;Falsche Installation
BusinessItemEmptyDefinitionMessage;Geben Sie die SELECT-Klausel ein.
BusinessItemDefinitionTooLongMessage;Die SELECT-Klausel dieses Geschäftselements ist zu lang (maximal 1000 Zeichen).
DeveloperMode;Entwicklungsmodus
CollectionAlreadyBeingUpdatedExceptionMessage;Die Sammlung wird bereits aktualisiert.
QueryResultNotScalarExceptionMessage;Die Abfrage muss einen Datensatz und eine Spalte zurückgeben.
QueryResultEmptyMustBeSingleRowExceptionMessage;Die Abfrage hat keine Datensätze zurückgegeben. Sie müssen genau 1 zurückgeben.
QueryResultMoreThanOneRowMustBeSingleRowExceptionMessage;Die Abfrage hat {0} Datensätze zurückgegeben. Sie müssen genau 1 zurückgeben.
ExecutingTheQuery;Abfrage ausführen
RowsHaveBeenObtainedParameter;Es wurden {0} Zeilen erhalten
NullActionsToExecuteExceptionMessage;Sie müssen die auszuführenden Aktionen definieren (Aktionen).
NullDataVariablesExceptionMessage;Die Variablen (Daten) müssen definiert werden.
ProvidedServerAddressIsMisspelledMessage;Die angegebene Serveradresse ist falsch geschrieben.
ProvidedServerAddressNotCronoServerMessage;Die angegebene Adresse entspricht keinem Crono-Server.
CronoServerConnectionHasBeenEstablished;Die Verbindung zum Server wurde hergestellt.
ExpressionAlreadyBeenSetted;Der Ausdruck wurde bereits festgelegt
InstructionNotASELECTStatement;Die Anweisung ist keine SELECT-Anweisung
UrlIncorrectFormatParameterBetweenQuotes;Die URL '{0}' hat kein korrektes Format.
UrlNotUsingS3ProtocolExceptionMessage;Die URL verwendet nicht das s3-Protokoll
ShowingPartialResults;Teilergebnisse anzeigen.
UnneededCallExceptionMessage;Hier müssen Sie nicht anrufen
DeleteDirectoryConfirmation;Möchten Sie dieses Verzeichnis und seinen gesamten Inhalt wirklich löschen?
DeleteFileConfirmation;Möchten Sie diese Datei wirklich löschen?
_404FileNotFound;404. Der von Ihnen angeforderte Dateipfad wurde nicht gefunden
ServerIsNotInformed;Der Server wird nicht informiert.
ResourceDirectoryNotExistsParameterBetweenQuotes;Der Ressourcenordner '{0}' existiert nicht
DataBaseConnectionNotExistsParameter;Es besteht keine Verbindung '{0}', um auf die Datenbank zuzugreifen.
NoDataBaseConectionEstablished;Es wurde keine Verbindung zu einer Datenbank hergestellt.
ConditionNotMet;Die Bedingung ist nicht erfüllt.
FileNotFoundParameter;Datei {0} nicht gefunden
FileNotFoundOfColon;Die Datei von:
FileToSaveNotSpecified;Die zu speichernde Datei wurde nicht angegeben
ConnectionNotSpecified;Die Verbindung wurde nicht angegeben.
ServerUrlNotSpecified;Server-URL-Adresse nicht angegeben
SourceCatalogOfCubeNotSet;Der Quellkatalog dieses Cubes wurde nicht erstellt.
MessageOutputNotSet;Nachrichtenausgabe nicht gesetzt
CouldNotAccessToParameter;Zugriff auf '{0}' nicht möglich
CouldNotExecuteActionCorrectlyMaxIterationCount;Die Aktion konnte nicht korrekt ausgeführt werden, die maximale Anzahl von Iterationen wurde erreicht.
CouldNotFindInexistentTempFile;Es konnte keine nicht vorhandene temporäre Datei gefunden werden
CouldNotConnectMailServerCheckFieldAndRetry;Es kann keine Verbindung zum Mailserver hergestellt, die Felder überprüft oder später erneut versucht werden.
CouldNotSaveFileParameterColonParameter;Datei '{0}' konnte nicht gespeichert werden: {1}
CannotCreateEngineUndefinedHandlerFile;Sie können keine Engine erstellen, da die Handler-Datei nicht definiert ist.
CannotCreateDirectConnectionToCronoServerConnection;Sie können keine direkte Verbindung mit einer Verbindungszeichenfolge vom Typ Crono Server herstellen
KeyNameColonParameter;Schlüsselname: {0}
MachineNameColonParameter;Teamname: {0}
IndexNameColonParameter;Indexname: {0}
PanelParameter;Panel {0}
UpdateRuleColonParameter;Aktualisierungsregel: {0}
DeleteRuleColonParameter;Regel löschen: {0}
BadRouteDefinitionColonParameter;Route schlecht definiert: {0}
ConditionIsMetActionsWillBeExecuted;Die Bedingung ist erfüllt. Die Aktionen werden ausgeführt.
NullForEachItemsExceptionMessage;Die Abfrage des FOR EACH-Blocks (Items) muss definiert werden.
NullForEachActionsExceptionMessage;Die Aktionen des FOR EACH-Blocks (Actions) müssen definiert werden.
NullCronoSqlCodeToExecuteExceptionMessage;Sie müssen den auszuführenden Crono SQL-Code definieren (Code).
NullConditionExceptionMessage;Die Bedingung muss definiert sein (Bedingung)
DataBaseParameterBetweenQuotesHasBeenDeleted;Die Datenbank '{0}' wurde gelöscht
FollowingActionsHaveBeenExecutedColon;Folgende Aktionen wurden ausgeführt:
AllAccountDataCorrectlyEvaluated;Alle Kontodaten wurden korrekt ausgewertet.
RecompileRequiredToIncorporateChanges;Sie müssen neu kompilieren, um die Änderungen zu übernehmen:
BadSegmentDefinitionColonParameter;Falsch definiertes Segment: {0}
DestinationTableColonParameter;Zieltabelle: {0}
SourceTableColonParameter;Quellentabelle: {0}
HasDiferentFilesCountDotParameterBetweenParentheses;Sie haben unterschiedliche Anzahlen von Dateien. ({0})
HasDiferentSubfoldersCountDotParameterBetweenParentheses;Sie haben eine unterschiedliche Anzahl von Unterordnern. ({0})
UnsupportedDataTypeColonParameter;Nicht unterstützter Datentyp: {0}
DataTypeColonParameter;Datentyp: {0}
UserColonParameter;Benutzer: {0}
UndefinedVariableInDictionaryKeyColonParameterBetweenParentheses;Variable nicht im Wörterbuch definiert (Schlüssel: {0})
ParameterEmpty;{0} leer
ParameterRowsRead;{0} Zeilen gelesen.
ParameterCorrectlyExecuted;{0} erfolgreich ausgeführt
ParameterRecordsAffected;{0} betroffene Datensätze.
FileRemovedFromRecentList;Datei aus letzter Liste gelöscht
FileNotExistsColon;Die Datei existiert nicht:
ItemNotFoundColon;Artikel nicht gefunden:
DataSourceIsNotInformed;Die DataSource wird nicht informiert.
CouldNotAccessToRouteParameterBetweenQuotes;Zugriff auf Route '{0}' nicht möglich
CronoBusinessIntelligencePlatform;Crono Business Intelligence-Plattform
InvertTableColumnXNotUniqueValues;Um die Tabelle umzukehren, muss die Spalte '{0}' eindeutige Werte haben.
ParameterFilteredByParameter;{0} gefiltert nach {1}
Columns;Spalten
BusinessItem;Geschäftselement
_Default;Standard
WithoutProxy;Kein Proxy
Values;Werte
Action;Aktion
Configuration;Setup
Executed;Ausgeführt
ErrorParameterParameter;Fehler {0} {1}
UnexpectedError;Unvorhergesehener Fehler
Information;Informationen
Numerical;Numerisch
Job;Arbeit
ParameterAndParameter;{0} und {1}
_Date;Datum
AndLowerCase;und
OrLowerCase;oder
FilteredBetweenParentheses;(gefiltert)
SubqueryBetweenParentheses;(Unterabfrage)
AllBetweenParentheses;(Alle)
CompatibleFilesParameterBetweenParenthesesBarParameterBar;Unterstützte Dateien ({0}) | {1} |
LogLocationColon;Protokollspeicherort:
Warning;Warnung
TextFile;Textdatei
BatchFiles;Batch-Dateien
CsvFiles;CSV-Dateien
ImageFiles;Bilddateien
ExecutableFiles;Ausführbare Dateien
EtlFiles;ETL-Dateien
ScheduleFiles;Dateien planen
SqlFiles;SQL-Dateien
TmpFiles;Tmp-Dateien
XpsFiles;XPS-Dateien
_Boolean;Boolescher Wert
_String;String
WithProxy;Mit Proxy
LocalCube;Lokaler Eimer
Count;Zählen
UserData;Benutzerdaten
AutomaticDetection;Automatische Erkennung
RtfFormat;RTF-Format
Formula;Formel
BmpImage;BMP-Bild
EmfImage;EMF-Bild
JpegImage;JPEG-Bild
PngImage;PNG-Bild
TIFFImage;TIFF-Bild
Report;Bericht
GetCall;Anruf erhalten
PostCall;POST-Anruf
Maximum;Maximum
Minimum;Minimum
None;Keine
NameColonParameter;Name: {0}
Average;Durchschnitt
CronoEtlProject;ETL Crono Projekt
TestsResults;Testergebnisse
Secondary;Sekundär
Sum;Summe
PrintableReport;Druckbarer Bericht
ValuesLowercase;Werte
ValueLowercase;Wert
Properties;Eigenschaften
Update;Update
Help;Hilfe
Connection;Verbindung
Query;Beratung
Options;Optionen
Open;Öffnen
Close;Schließen
Delete;Entfernen
Modify;Ändern
Table;Tabelle
Tables;Tabellen
File;Archiv
Copy;Kopieren
Status;Staat
Image;Bild
Parameter;Parameter
DatabaseColonParameter;Datenbank: {0}
View;Anblick
NewDocument;Neues Dokument
CheckJoins;Überprüfen Sie die Beziehungen
Folder;Ordner
Scheme;Schema
CreationDate;Erstellungsdatum
Database;Datenbank
LastModification;Zuletzt geändert
Name;Vorname
Multivalue;Mehrwertig
ActionColon;Aktion:
DateColon;Datum:
AllRightsReserved;Alle Rechte vorbehalten.
Hyperlink;Hyperlink
Obsolete;Veraltet
ErrorReadingParameter;Fehler beim Lesen von {0}
NotKnownNamespaceParameterBetweenQuotes;Der Namespace '{0}' ist unbekannt
CouldNotSaveOnTheServerParameterBetweenParentheses;Auf Server konnte nicht gespeichert werden ({0}).
NotSupportedResponseParameterBetweenParentheses;Nicht unterstützte Antwort ({0})
CssSelectorAbsentOrBadlyDefined;CSS-Selektor fehlt oder ist schlecht definiert.
Yes;Ja
ItMustOnlyBeCalledIfTheNodeIsFile;Es sollte nur aufgerufen werden, wenn der Knoten <Datei> ist.
AnItemWithSameKeyParameterBetweenQuotesWasAlreadyAdded;Ein Element mit demselben Schlüssel '{0}' wurde bereits hinzugefügt
Group;Gruppe
UnrecognizedTransformationType;Art der Transformation nicht erkannt.
SystemLanguage;Systemsprache
Spanish;Spanisch
English;Englisch
Equal;Gleiches
InTheList;Auf der Liste
Distinct;Anders
OutOfTheList;Von der Liste
LessThan;Weniger als
GreaterThan;Größer als
LessThanOrEqualTo;Kleiner als oder gleich
GreaterThanOrEqualTo;Größer oder gleich
Between;Zwischen
NotContains;Enthält nicht
StartsWith;Beginnen Sie mit
NotStartsWith;Es beginnt nicht mit
EndsWith;Endet in
NotEndsWith;Endet nicht in
LikePattern;Als Patron
NotLikePattern;Nicht wie das Muster
IsNull;Ist null
IsNotNull;Es ist nicht null
That;Das
ThatNot;Nein
InSubQuery;In Unterabfrage
NotInSubquery;Nicht in Unterabfrage
Key;Schlüssel
Value;Wert
Add;Hinzufügen
Up;Auf
Down;Steig aus
Executing;Laufen
Variable;Variable
Queries;Abfragen
SendEmailParameterBetweenParentheses;E-Mail senden ({0})
FileOfParameterMbUploadedToColonParameter;Datei von {0} Mb hochgeladen auf: {1}
CurrentlyOnlyCompressedCopiesSupported;Derzeit werden nur komprimierte Kopien (.zip) unterstützt
DataBasePatternBetweenParenthesesColon;Datenbank (Muster):
EachMarkdownbuilderCanOnlyBeUsedOnce;Jeder Markdownbuilder kann nur einmal verwendet werden.
UnknownFileContent;Nicht erkannter Dateiinhalt.
ExcelContentNotDefined;Excel-Inhalt nicht definiert
EmailNotSendedParenthesesBecauseIsTesting;Mail nicht gesendet (zum Testen).
SourceMustBeSpecified;Sie müssen eine Quelle angeben
TheDestinationFileOutputMustBeDefined;Die Zieldatei (Ausgabe) muss definiert sein.
TablesBetweenQuotesPropertyMustBeDefined;Die Eigenschaft 'Tabellen' muss definiert werden
DuringTestsNotPublished;Während der Tests wird es nicht veröffentlicht
TheCubeHasBeenGeneratedCorrectly;Der Würfel wurde korrekt generiert
TheFileMustHaveZipExtension;Die Datei muss eine ZIP-Erweiterung haben
ExcelFileWithSeveralTableCannotUseUseExcelFilenameAsTableName;Die Excel-Datei enthält mehrere Tabellen, sodass Sie die Option 'UseExcelFilenameAsTableName' nicht verwenden können
ExistingSnapshotInDestinationFolderNotMatchLocationInSourceFolder;Der Snapshot im Zielordner stimmt nicht mit dem Speicherort des Quellordners überein.
ZipNotContainsSingleFile;Die ZIP-Datei enthält keine einzige Datei
EnquecuedTheStatusUpdate;Statusaktualisierung geklebt
ItIsNeededSmtpAccountToSendEmail;Es ist erforderlich, das SMTP-Konto anzugeben, um die E-Mail zu senden.
ItIsNeededRequestUri;Sie müssen [RequestUri] angeben.
ItIsNeededInformExcelFile;Es ist notwendig, die 'ExcelFile' zu informieren.
ItIsNeededToInformProfilesList;Es ist notwendig, die Liste der 'Profile' zu informieren.
ThisDeviceNotConfiguredToUseGoogleCalendarService;Dieses Gerät ist nicht für die Verwendung des Google Kalender-Dienstes konfiguriert.
ThisJobHasNoActionDefined;Dieser Job hat keine definierte Aktion.
ThisLogHasNotBeenSaved;Dieses Protokoll wurde nicht gespeichert.
ThisRecordBelongsAnotherDatabase;Dieser Datensatz gehört zu einer anderen Datenbank.
ThisTypeNotInheritDatabase;Dieser Typ erbt nicht von der Datenbank
TablesStructuresNotSupported;Tabellenstruktur wird nicht unterstützt.
EventCorrectlyRegistered;Ereignis erfolgreich registriert.
ExcelGeneratedCorrectly;Excel erfolgreich generiert
UnknownActionExists;Es gibt eine unbekannte Aktion.
MissingMemoryLocationQuestion;Fehlt ein Speicherort?
DatabaseRestorationHasBeenCompleted;Die Datenbankwiederherstellung ist abgeschlossen.
UnexpectedErrorOccurredWhileExecutingQuery;Beim Ausführen einer Abfrage ist ein unerwarteter Fehler aufgetreten.
ErrorOccurredDuringCubeCreation;Beim Erstellen des Cubes ist ein Fehler aufgetreten
DeviceIdentification;Geräteidentifikation
DestinationFolderCannotBeInsideSourceFolder;Der Zielordner darf sich nicht im Quellordner befinden.
SourceFolderCannotBeInsideDestinationFolder;Der Quellordner darf sich nicht im Zielordner befinden.
EntityNotAssociatedWithDatabase;Die Entität ist keiner Datenbank zugeordnet.
EntityAlreadyAssociatedWithDatabase;Die Entität ist bereits einer Datenbank zugeordnet.
TableStructureIsUnknown;Die Struktur der Tabelle ist unbekannt.
ImagesNotWellSorted;Die Bilder sind nicht gut geordnet
TheSourceExcelFileNotExists;Die Excel-Quelldatei ist nicht vorhanden.
ThereAreNoFilesInStage;Es sind keine Dateien in der Phase.
ThereIsNoFilePendingToLoad;Es steht keine Datei zum Hochladen aus
RotationSchemeNotDefined;Das Rotationsschema wurde nicht definiert.
JoinBetweenTablesNotFound;Die Beziehung zwischen diesen beiden Tabellen wurde nicht gefunden.
BaseDirectoryNotSpecified;Das Basisverzeichnis (Verzeichnis) wurde nicht angegeben
SourceDirectoryNotSpecified;Das Quellverzeichnis (SourceDirectory) wurde nicht angegeben.
XmlFileNotSpecified;Die XML-Datei (Datei) wurde nicht angegeben
AmazonBucketNameNotSpecified;Amazon Bucket Name nicht angegeben.
FileNameToLoadNotSpecified;Der Name der zu ladenden Datei (Dateiname) wurde nicht angegeben.
NameOfSourceDatabaseNotSpecified;Der ursprüngliche Name der Datenbank (SourceDatabaseName) wurde nicht angegeben.
TargetSchemaNotSpecified;'TargetSchema' nicht angegeben
BakDirectoryNotSpecified;Der zu sichernde Ordner (BakDirectory) wurde nicht angegeben.
DatasetLocationNotSpecified;Speicherort 'Datensatz' nicht angegeben
TablesToLoadNotSpecified;Die zu ladenden Tabellen (Tabellen) wurden nicht angegeben.
CouldNotCreateEventInGoogleCalendar;Ereignis in Google Kalender konnte nicht erstellt werden.
CouldNotDetermineCurrentVersion;Die aktuelle Version konnte nicht ermittelt werden.
CouldNotDetermineIfExistsAnyUpdateAvailable;Es kann nicht festgestellt werden, ob Updates verfügbar sind
CouldNotDeleteTheEvent;Das Ereignis konnte nicht gelöscht werden.
CouldNotObtainEventInfo;Ereignisinformationen konnten nicht abgerufen werden.
CannotDiscardChangesOnFileWithoutChanges;Sie können Änderungen in einer Datei ohne Änderungen nicht ausschließen.
ItHasNotSenseToFindItself;Es macht keinen Sinn, sich selbst zu finden.
ServerNameColon;Servername:
NullProfileOrBadlyDefined;Null oder schlecht definiertes Profil.
RestoringDatabase;Datenbank wiederherstellen.
ItIsNeededSpecifyWhereUnzip;Sie müssen angeben, wo Sie entpacken möchten
DestinationAmazonBucketMustBeSpecified;Ziel Amazon Bucket (Ziel) muss angegeben werden
S3BucketWhereUploadDirectoryMustBeSpecified;Sie müssen den S3-Bucket angeben, um das Verzeichnis (Bucket) hochzuladen.
DirectoryToUploadMustBeDefined;Sie müssen das hochzuladende Verzeichnis (Verzeichnis) angeben.
DestinationDirectoryMustBeSpecified;Das Zielverzeichnis (TargetDirectory) muss angegeben werden
SourceDirectoryMustBeSpecified;Das Quellverzeichnis muss angegeben werden (SourceDirectory)
FolderToSynchronizeMustBeSpecified;Sie müssen den zu synchronisierenden Ordner angeben (SourceDirectory).
BucketRegionMustBeSpecified;Der Bereich des Buckets muss angegeben werden.
DestinationBucketMustBeSpecified;Das Ziel 'Bucket' muss angegeben werden.
DestinationTableMustBeSpecifiedIntoTargetTableTag;Die Zieltabelle muss im Zieltabellen-TAG angegeben werden.
BackupPathMustBeSpecified;Der Pfad, in dem die Sicherung angegeben werden soll, wird angegeben.
BackupStartsAtColon;Die Sicherung beginnt um:
DownloadFolderMustBeDefined;Sie müssen den Download-Ordner definieren (BakDirectory)
AllTablesHaveBeenGeneratedCorrectly;Alle Tabellen wurden erfolgreich generiert
AllProfilesMustInformTableNamesToPublish;Alle Profile müssen die 'TableNames' zur Veröffentlichung informiert haben.
VerifyingAccessToken;Überprüfen von AccessToken
DatasetRead;Datensatz lesen
UploadCompleted;Upload beendet.
SendEmail;Ich sende eine E-Mail
NotExistsParameter;Existiert nicht {0}
FailedToImportData;Daten konnten nicht importiert werden
ParameterBetweenSquareBracketsNotAResourceFolder;[{0}] Es ist kein Ressourcenordner.
ServerBackupParameterBetweenParentheses;Sicherungsserver ({0})
DatabaseParameter;Datenbank {0}
SearchForUpdatesParameterBetweenParentheses;Nach Updates suchen ({0})
CompressingParameter;Komprimieren von {0}
DownloadedParameterBytesParenthesesParameterMilliseconds;Heruntergeladene {0} Bytes ({1} Millisekunden).
UnknownParenthesesReleaseParameter;Unbekannt (Release {0})
TheDirectoryDoesNotExistsParameterBetweenParentheses;Das Verzeichnis existiert nicht ({0})
TheCompressedFileParameterBetweenQuotesContainsMoreThanOneFile;Die komprimierte Datei '{0}' enthält mehr als eine Datei.
TheFileNotWithinBaseFolderParameterBetweenParentheses;Die Datei befindet sich nicht im Basisordner ({0}).
TheFileDoesNotExistsParameterBetweenParentheses;Die Datei existiert nicht ({0})
TheNugetPackageNotHasExpectedContentParameterBetweenParentheses;Das Nuget-Paket hat nicht den erwarteten Inhalt ({0})
TheZipNotContainsCompressedFolderParameterBetweenParentheses;Die ZIP-Datei enthält keinen komprimierten Ordner ({0}).
OldBackupDeletedColonParameter;Altes Backup gelöscht: {0}
ErrorWhileSendingEmailParameterBetweenParentheses.;Fehler beim Senden einer E-Mail ({0}).
ErrorReadingWritingColonParameter;Fehler beim Lesen / Schreiben: {0}
ThisFolderAlreadyGitRepositoryParameterBetweenParentheses;Dieser Ordner ist bereits ein GIT-Repository ({0})
FileStatusNotContemplatedParameterBetweenParenthesesAndQuotes;Status der nicht in Betracht gezogenen Datei ('{0}')
ExistsUpdateAvailableWillBeDownloadedAndInstalledAutomaticallyParenthesesUpdateColonParameter;Es ist ein Update verfügbar. Es wird automatisch heruntergeladen und installiert. (Update: {0})
ThereAreSeveralRecordsOfParameter;Es gibt mehrere Datensätze von {0}.
FailtureHileLinkingColumnParameter;Fehler beim Verknüpfen der Spalte {0}
SheetParameterBetweenQuotesCreatedCorrectly;Blatt '{0}' erfolgreich erstellt
ImageParameter;Bild {0}
TheYamlHeaderOfResourceHeaderNotCorrectParameterBetweenParenthesesAndSquareBrackets;Der YAML-Header des Ressourcenkopfs ist nicht korrekt ([{0}]).
TheFolderParameterBetweenQuotesAlreadyExists;Der Ordner '{0}' existiert bereits.
QueueFullNoAdditionalMessageWillBeLoaded;Der Schwanz ist voll. Es wird keine zusätzliche Nachricht geladen
TheTableParameterBetweenQuotesNotHaveRecordsBulkIsOmited;Die Tabelle '{0}' hat keinen Datensatz. Der BULK wird weggelassen.
LastVersionAvailableIsParameterParenthesesCurrentVersionColonParameter;Die neueste verfügbare Version ist {0} (aktuelle Version: {1}).
LastVersionAvailableIsParameterAlthoughWillNotBeInstalledNowBecauseCurrentExecutionModeParameterBetweenParentheses;Die neueste verfügbare Version ist {0}, obwohl sie im aktuellen Ausführungsmodus ({1}) jetzt nicht installiert wird.
ParameterReadMessages;Lesen Sie {0} Nachrichten
ReadingDirectoryColonParameter;Leseverzeichnis: {0}
ReadingExcelTableColonParameter;Excel-Tabelle lesen: {0}
NotNeededToDeleteFileBecauseNotExistsColonParameter;Die Datei muss nicht gelöscht werden, da sie nicht vorhanden ist: {0}
NotValidXMLFileParameterBetweenParenthesesColonParameter;Es ist keine gültige XML-Datei ({0}): {1}.
NotANugetPackageParameterBetweenParentheses;Es ist kein Nuget-Paket ({0})
NotAGitRepositoryColonParameter;Es ist kein GIT-Repository: {0}
TheSpecfiedDirectoryDoesNotExistsParameterBetweenParentheses;Das angegebene Verzeichnis existiert nicht ({0})
TheSearchedRecordDoesNotExistsParameter;Der gesuchte Datensatz von {0} existiert nicht.
NotExistsAvailableUpdateParenthesesCurrentVersionColonParamether;Es ist kein Update verfügbar (aktuelle Version: {0})
ThereAreNoOldBackupsPendingToDelete;Bis zum Löschen sind keine alten Sicherungen vorhanden.
ThereIsNoRegisteredServerThatUseAmazonBucketCalledParameterBetweenQuotes;Es gibt keinen registrierten Server, der einen Amazon-Bucket namens '{0}' verwendet.
BranchNotFoundColonParameter;Zweig nicht gefunden: {0}
NoBackupFoundInIndicatedLocationParameterBetweenParentheses;Am angegebenen Speicherort wurde keine Sicherung gefunden. ({0})
OutputFolderNotSpecifiedParameterBetweenParentheses;Die Ausgabekappe wurde nicht angegeben ({0}).
PageToGenerateNotSpecifiedParameter;Die zu generierende Seite wurde nicht angegeben ({0}).
CouldNotDeleteTheFolderParameterBetweenQuotes;Ordner '{0}' konnte nicht gelöscht werden
UrlNotRecognizedAsAwsS3ValidAddressParameterBetweenParentheses;Die URL wird nicht als gültige AWS S3-Adresse erkannt ({0}).
ObtainDataParameterBetweenParentheses;Daten abrufen ({0})
ReadyToExtractAndLoadTableDataParameter;Bereit zum Extrahieren und Laden von Daten aus Tabelle {0}
ReadyToExtractAndLoadFileDataParameter;Bereit zum Extrahieren und Laden von Daten aus Datei {0}
UnexpectedProblemGeneratingThePageParameter;Unvorhergesehenes Problem beim Generieren der Seite {0}
PerformedBulkInsertOnParameter;BULK INSERT für {0} ausgeführt.
PerformedBulkInsertonParameterParenthesesParameterReadRecords;BULK INSERT wird für {0} ausgeführt ({1} Datensätze gelesen)
ParameterMessagesWillBeEnqueueToFillTheQueue;{0} Nachrichten werden geklebt, um die Warteschlange zu füllen.
AnUnexpectedFileHasBeenDeletedColonParameter;Eine unerwartete Datei wurde gelöscht: {0}
TheBackupHasBeenCompressedColonParameter;Das Backup wurde komprimiert: {0}
TheBackUpHasBeenCreatedColonParameter;Backup erstellt: {0}
LoadOfParameterFilesStartsParenthesesParameterMb;Das Hochladen von {0} Dateien ({1} Mb.) Startet.
DownloadOfParameterIntoParameterBetweenQuotesStarts;Der Download von {0} nach '{1}' beginnt
UploadToParameterInThePathParameterBetweenParenthesesStartsParenthesesParameterKb;Das Hochladen auf {0} beginnt auf der Route '{1}' ({2} Kb).
UploadToParameterOfParameterBetweenParenthesesStartsParenthesesParameterKb;Das Hochladen von '{1}' ({2} Kb) auf {0} beginnt
UploadOfParameterFilesStarts;Der Upload von {0} arcihvos beginnt.
FileSizeParameterKb;Dateigröße {0} Kb
VerifyingProfileColonParameter;Profil überprüfen: {0}
LookingForDifferences;Auf der Suche nach Unterschieden
Quote;Termin
EmailSended;Mail gesendet
ViewCreation;Erstellung anzeigen
CreateTables;Erstellen Sie Tabellen
DownloadComplete;Download beendet.
Decompressing;Auspacken
RotationSchemeColon;Rotationsschema:
FileCopied;Datei kopiert.
CubeGeneration;Würfelerzeugung
GeneratingExcelEllipsis;Excel generieren ...
GeneratingParameterBetweenQuotes;Generieren von '{0}'
ReadingParameter;Lesen von {0}
NotDetected;Nicht erkannt
Synchronization;Synchronisation
UnexpectedSituation;Unvorhergesehene Situation
FrameworkDotNetColonParameter;Framework .Net: {0}
UnrecognizedActionOrJob;Nicht erkannte Handlung oder Arbeit.
TooManyArguments;Zu viele Argumente.
UsageModeColonCronoConsoleDotExeSquareBracketsNameOfTheJobToExecute;Verwendung: CronoConsole.exe [auszuführender Jobname]
