Name;Longitude;Latitude
Uzbekistan;63.83333;41.66667
Vatican City;12.45332;41.90236
Saint Vincent and the Grenadines;-61.2;13.08333
Venezuela;-66;8
British Virgin Islands;-64.5;18.5
U.S. Virgin Islands;-64.98348;18.34829
Vietnam;107.83333;16.16667
Vanuatu;167;-16
Wallis and Futuna;-176.2;-13.3
Samoa;-172.13333;-13.8
Kosovo;20.91667;42.58333
Yemen;47.5;15.5
Mayotte;45.16667;-12.83333
South Africa;24;-29
Zambia;28.5;-14.33333
Zimbabwe;29.75;-19
